aid,similarity_baseline
127222,"[128926, 129420, 128330, 128919, 128422, 128550, 128467, 129231, 128826, 128902, 129244, 128750, 128604, 128752, 127873, 129272, 129175, 128909, 129155, 128253, 129299, 128905, 128076, 129192, 129397, 128747, 128324, 127950, 128397, 128124, 129296, 128921, 128973, 128513, 129079, 129090, 128049, 128407, 129017, 128230, 129380, 128951, 129399, 128263, 128091, 127980, 128464, 128120, 130688, 128660, 128675, 128141, 128203, 129383, 128738, 129161, 129315, 128791, 128982, 129394, 128760, 128721, 128979, 129334, 128352, 128705, 129201, 128033, 127891, 128927, 128942, 128293, 128961, 128432, 128631, 129132, 129352, 129091, 128762, 128960, 128620, 128938, 129169, 129076, 128975, 129146, 128806, 128968, 128988, 128362, 127952, 128824, 128335, 128316, 128252, 128797, 128587, 128190, 128386, 127921]"
127223,"[128996, 129381, 127918, 128031, 128140, 128434, 128635, 127914, 128393, 129029, 129030, 128042, 129335, 128711, 129210, 128899, 127989, 128528, 128904, 128405, 128866, 128657, 128551, 128110, 128192, 129348, 128682, 128374, 127941, 128581, 128872, 128508, 128535, 128027, 128636, 128741, 128594, 129011, 128170, 128274, 128439, 129173, 129363, 129046, 128371, 128744, 129350, 128103, 128159, 127854, 128022, 129164, 128441, 128344, 128129, 128709, 129186, 128019, 129085, 128844, 128821, 129377, 128506, 129170, 128776, 128497, 128654, 128697, 128890, 128482, 129181, 129042, 128877, 128304, 129131, 129176, 129034, 128037, 128007, 128525, 128216, 128612, 128121, 129310, 128651, 129340, 129888, 128024, 128370, 128368, 127925, 127971, 128490, 128275, 128095, 128690, 128089, 129192, 128746, 129396]"
127224,"[128936, 128871, 128615, 128685, 128229, 128757, 129292, 128290, 128616, 128471, 128370, 128534, 127888, 128767, 128415, 127978, 128383, 129403, 127850, 128646, 128164, 128112, 128101, 127905, 128482, 128390, 128460, 128918, 128815, 128651, 129078, 129424, 129099, 128222, 128172, 128375, 128327, 127854, 128128, 128563, 128429, 127977, 128165, 129229, 127860, 129381, 128341, 127870, 128891, 128031, 128595, 128596, 128412, 127941, 129378, 128024, 128116, 128518, 129173, 128872, 128746, 128691, 128170, 129011, 128854, 128192, 129205, 128365, 129131, 129176, 129016, 128478, 128178, 128434, 128541, 128883, 127937, 128371, 127939, 129210, 128533, 128850, 127925, 129340, 129250, 129354, 129118, 128089, 128319, 128866, 128382, 128449, 129331, 128110, 128022, 129375, 128594, 128942, 128708, 129259]"
127225,"[128604, 128422, 129079, 128397, 127950, 128909, 128826, 127873, 129397, 128048, 128738, 128701, 129124, 129334, 127852, 127923, 128921, 128817, 127943, 128968, 129311, 128124, 128467, 128760, 128220, 128742, 129175, 128330, 129231, 128791, 129315, 128049, 129414, 127980, 127970, 129324, 128120, 129385, 128961, 129393, 129296, 129237, 129411, 129287, 129343, 129135, 128190, 128960, 129132, 128748, 128033, 129262, 129362, 127861, 128729, 129352, 128368, 128979, 128902, 128465, 129387, 128245, 128926, 129279, 129244, 128747, 128141, 129299, 129091, 129407, 127884, 128860, 128675, 127906, 128417, 129970, 128258, 127909, 128544, 128880, 127998, 129269, 129272, 128938, 128001, 128951, 128550, 128841, 128466, 128407, 128485, 129037, 129413, 128660, 128782, 129420, 129082, 128203, 128316, 129255]"
127228,"[128822, 128883, 129063, 128879, 128595, 128848, 128253, 128050, 128769, 128059, 128712, 128440, 129108, 129299, 129016, 128120, 129293, 128260, 127951, 128959, 128821, 129380, 129092, 129319, 127998, 128256, 128200, 129308, 128596, 129383, 128834, 128751, 129378, 128969, 128352, 128237, 127871, 128824, 129421, 128417, 129195, 128008, 128141, 128391, 129244, 128961, 128007, 128973, 128854, 129101, 128610, 128981, 129169, 128895, 128806, 128227, 128001, 128947, 128105, 128103, 128422, 128319, 129222, 128988, 128024, 128033, 128152, 128238, 129320, 128005, 128563, 128275, 128995, 128653, 128951, 128390, 129035, 128830, 127948, 128871, 128038, 128704, 129232, 128426, 129353, 127909, 128126, 128693, 128556, 127973, 127967, 128770, 127978, 129192, 129022, 128431, 128839, 128942, 127867, 129229]"
127229,"[129082, 128627, 128673, 128321, 129270, 129262, 129362, 128450, 129057, 129037, 128633, 127929, 129306, 129048, 128167, 129279, 128513, 128042, 128647, 128220, 128675, 128604, 128964, 129097, 127852, 127923, 127994, 129204, 128198, 129219, 128721, 129316, 128421, 130061, 128747, 128092, 129014, 128750, 129386, 128503, 128676, 128624, 128791, 127873, 128324, 129297, 128909, 128366, 128035, 127995, 128124, 128960, 128407, 128622, 128801, 128798, 128076, 129420, 128277, 128505, 128337, 128028, 129305, 128722, 128252, 129198, 129145, 128539, 128133, 128245, 128671, 128660, 128944, 128614, 129091, 128422, 129280, 129220, 128786, 128689, 128696, 128620, 128414, 128330, 128091, 129970, 127881, 129268, 129296, 128397, 128926, 129235, 128235, 128418, 129001, 128876, 128074, 128073, 128045, 128072]"
127231,"[127870, 128746, 128878, 128651, 128691, 127925, 128416, 127918, 128936, 128741, 129065, 128497, 129381, 128872, 128165, 127907, 128383, 128767, 128290, 128415, 128615, 128405, 128225, 128871, 129340, 128490, 127854, 129354, 128429, 128128, 128274, 128594, 128087, 129067, 128140, 128866, 128170, 129403, 129131, 129176, 128535, 128439, 129011, 127977, 127937, 128178, 128823, 128275, 128460, 128411, 128528, 128371, 128708, 128518, 128024, 128121, 129046, 128757, 128177, 128351, 128778, 129207, 128360, 128101, 127968, 128031, 128370, 128744, 128988, 127860, 128434, 129205, 128254, 128807, 129194, 127883, 129000, 128815, 128164, 128327, 129042, 129331, 128112, 128003, 129232, 129206, 128027, 129017, 128365, 127888, 128449, 129259, 127951, 128877, 129229, 129108, 128482, 129292, 129186, 128287]"
127232,"[129205, 128365, 128360, 128878, 128746, 127854, 128535, 128383, 128483, 128497, 128691, 127925, 128415, 127870, 128685, 129067, 128651, 129345, 129042, 128490, 127941, 129004, 128594, 128370, 128024, 128866, 128405, 128275, 128129, 129381, 129331, 128274, 129186, 128429, 128411, 128439, 128904, 127918, 128399, 128877, 129403, 129349, 128785, 128165, 128815, 128872, 129065, 128936, 129335, 128744, 128823, 128140, 128741, 128481, 128778, 128534, 128128, 128101, 129888, 128116, 128319, 128177, 128225, 128615, 127937, 128807, 128835, 128003, 127939, 128708, 128172, 128375, 129292, 128087, 129340, 128027, 128192, 127977, 128646, 127996, 129207, 128474, 128871, 128471, 128118, 129354, 127850, 128178, 128434, 128393, 129424, 127883, 127978, 129170, 128635, 129046, 128371, 129417, 128110, 129181]"
127233,"[129381, 128405, 128129, 128746, 127941, 128691, 128274, 127925, 129403, 129229, 128535, 128757, 128651, 128497, 128815, 128429, 128399, 127870, 128439, 128528, 129205, 128866, 127854, 128031, 128685, 129011, 129888, 129349, 128121, 128872, 128192, 128904, 129340, 129046, 128140, 128741, 129004, 128290, 128767, 129331, 128275, 128534, 128165, 129186, 129354, 127883, 129345, 127918, 129417, 129067, 128365, 128371, 128087, 128518, 128628, 128744, 127937, 128390, 128225, 129335, 128178, 127968, 128785, 128103, 128110, 128878, 128089, 127977, 129173, 128708, 128415, 128490, 128877, 129210, 128481, 128538, 128556, 129118, 128594, 127978, 129042, 128636, 129131, 129176, 128170, 128615, 129350, 128635, 128434, 128596, 127945, 128499, 128027, 128360, 128483, 129164, 128177, 128148, 128482, 128918]"
127234,"[128045, 128503, 128513, 128527, 128195, 128721, 129401, 129114, 128330, 127994, 128217, 128627, 128750, 128450, 128624, 129362, 128505, 127981, 128134, 129420, 128926, 128582, 128676, 128201, 128722, 128091, 128647, 129306, 129276, 129001, 129305, 128133, 127995, 128076, 128604, 128960, 129302, 128827, 129389, 129068, 128183, 128631, 128747, 128623, 129402, 128362, 129285, 128620, 129082, 128798, 129100, 128669, 127884, 129097, 128198, 129277, 128324, 129107, 129180, 129052, 129190, 128438, 128814, 127873, 128421, 128414, 128073, 129143, 128322, 129234, 129198, 127851, 129116, 128966, 128074, 128321, 128162, 129137, 128013, 129212, 128633, 127876, 128507, 129037, 129019, 128264, 127949, 129127, 129270, 128671, 128666, 128245, 128542, 129262, 128696, 129045, 128329, 129386, 128277, 128407]"
127235,"[129334, 129315, 129324, 129352, 129407, 128701, 129237, 128544, 128782, 128738, 129397, 127950, 129414, 128742, 128826, 128258, 128203, 128979, 129393, 128576, 129287, 128968, 129365, 129486, 128160, 128880, 129033, 128933, 129296, 128190, 127861, 127970, 129311, 129124, 128428, 128422, 128465, 128040, 129269, 128397, 129432, 129333, 128909, 128791, 128902, 129342, 129299, 127873, 128001, 129178, 128021, 129387, 128559, 129258, 128568, 129400, 129385, 128352, 128695, 128550, 128049, 128124, 127943, 128938, 128368, 128725, 129244, 128860, 129411, 128748, 128851, 128048, 128729, 128618, 129364, 129076, 129135, 127909, 129343, 128431, 128675, 128951, 128921, 129132, 128604, 129175, 129079, 128417, 128467, 128033, 128402, 129356, 129101, 128961, 129272, 128316, 128173, 128720, 128841, 129273]"
127236,"[129352, 129324, 128465, 129407, 129315, 128860, 129135, 129414, 129311, 129033, 128921, 129400, 128748, 129124, 128742, 129343, 128604, 128049, 129355, 129269, 128397, 128618, 129334, 128960, 129385, 128909, 128701, 127950, 128791, 128817, 129387, 128880, 128124, 129178, 129287, 128826, 128738, 129397, 128782, 129408, 127852, 127923, 129342, 129393, 128466, 128902, 129201, 128851, 128752, 128368, 129394, 129272, 128258, 127873, 128190, 129411, 128729, 129279, 128979, 129366, 128933, 128675, 128645, 129057, 129079, 128467, 128352, 129273, 128252, 128544, 127861, 128875, 128841, 128725, 128428, 129388, 128203, 128622, 128938, 128577, 129179, 129237, 128407, 129175, 129296, 128576, 127952, 128033, 129970, 128754, 128091, 127970, 128422, 129286, 127943, 129231, 128001, 129365, 127906, 128951]"
127237,"[127970, 128961, 129343, 128119, 127909, 127871, 128352, 128417, 129400, 129387, 128938, 129124, 129397, 129244, 129287, 129033, 128258, 128368, 129293, 129299, 128830, 128701, 129319, 128969, 128237, 128120, 128707, 128021, 127950, 129421, 128729, 129026, 129352, 129231, 129258, 128001, 129380, 128645, 128880, 129407, 128422, 129377, 127998, 128190, 128465, 127861, 128742, 129324, 129237, 128033, 129311, 128951, 129315, 128848, 128791, 129286, 128979, 128200, 128770, 129169, 129130, 129369, 128695, 128826, 128428, 128738, 129308, 128577, 128126, 129414, 128781, 128256, 129411, 128173, 128902, 128733, 129334, 129427, 128005, 129101, 128227, 129394, 127880, 128776, 129016, 128467, 129383, 129217, 128939, 129255, 128959, 129338, 128903, 129486, 128860, 128203, 129342, 129108, 127943, 128544]"
127238,"[127977, 128615, 128616, 128434, 128460, 128894, 128370, 128112, 128771, 128311, 128651, 128741, 128691, 128871, 127854, 128290, 128449, 127925, 128650, 128482, 129164, 128746, 129099, 129108, 128351, 128165, 129313, 129292, 128977, 129421, 128101, 128596, 127978, 128760, 128156, 128778, 129141, 129256, 129188, 128576, 128319, 128166, 128988, 129042, 128169, 128891, 128254, 128128, 127870, 129175, 128440, 128745, 127860, 129354, 128677, 129381, 129159, 129340, 129308, 129016, 128447, 128563, 129205, 128129, 128556, 129065, 128646, 127980, 128936, 128024, 128533, 128415, 128003, 129382, 128848, 127962, 129034, 129118, 128927, 128740, 128122, 127905, 128022, 128353, 128796, 128275, 128850, 128015, 128685, 128224, 128365, 129335, 129242, 129378, 128225, 128048, 128872, 127939, 128148, 129237]"
127239,"[128872, 128685, 128225, 128936, 128110, 128815, 128556, 128483, 128385, 128165, 127870, 129232, 128615, 129381, 128767, 128482, 129307, 128192, 129099, 128319, 128746, 128024, 127854, 128383, 128866, 128460, 127925, 128563, 129065, 128275, 127918, 128691, 128778, 128651, 128474, 128140, 129345, 128089, 128877, 129328, 128405, 128121, 129308, 128534, 129424, 129205, 127850, 127977, 128449, 128538, 128434, 127939, 128497, 128031, 128871, 127941, 129353, 128086, 129131, 129176, 127967, 127996, 128415, 128518, 128170, 128177, 129108, 128222, 129092, 128290, 128995, 128101, 128740, 128741, 128894, 129046, 128533, 129173, 128596, 128129, 128646, 128439, 128825, 128708, 128616, 128365, 129175, 127978, 128429, 129186, 128813, 128015, 128156, 128496, 128796, 128635, 128636, 128745, 128657, 128103]"
127240,"[129093, 129090, 128906, 128018, 129111, 128328, 129076, 128115, 128223, 129358, 128183, 128100, 128773, 129097, 128448, 128373, 128592, 128926, 128109, 128632, 128505, 128601, 129031, 128676, 127879, 128789, 127971, 128588, 129234, 129305, 129370, 128030, 128573, 129281, 127876, 128540, 128095, 128219, 129383, 128288, 129048, 128549, 128919, 129080, 128376, 127977, 128639, 129221, 128318, 127915, 127972, 127921, 128544, 127992, 129223, 129116, 128568, 128247, 128841, 127943, 128432, 127857, 129248, 128462, 128270, 129296, 128052, 128993, 128597, 128473, 128422, 128955, 129078, 129359, 129019, 127991, 128627, 129273, 128402, 128253, 128380, 129029, 128574, 128244, 128590, 128556, 128436, 128618, 127903, 128254, 129309, 129105, 128464, 128671, 128196, 128258, 128781, 127881, 129210, 128983]"
127241,"[128848, 128384, 128237, 129293, 128050, 128315, 128319, 128812, 128126, 129231, 127998, 128595, 127978, 129195, 128390, 128670, 128947, 128596, 128422, 129405, 129427, 128854, 128449, 127979, 128891, 128248, 129378, 128821, 128896, 129164, 128031, 129421, 128417, 127887, 129244, 129250, 128888, 128834, 128653, 129308, 129022, 128492, 128033, 128959, 128978, 128152, 128391, 128434, 129132, 128260, 128199, 128275, 129331, 128341, 128063, 128636, 129108, 129016, 128351, 128883, 129256, 127871, 128973, 129152, 128307, 128710, 127968, 128951, 128440, 129138, 128387, 128822, 127971, 129229, 128961, 128815, 128646, 127951, 129299, 128806, 128311, 128216, 128120, 127905, 127939, 128879, 128778, 128141, 129885, 129118, 128995, 128352, 127913, 129397, 129368, 129258, 128805, 127999, 128544, 129217]"
127242,"[127895, 128544, 128183, 128063, 128549, 128805, 129019, 128550, 129299, 128942, 128995, 128253, 128102, 127979, 129195, 128745, 129132, 128822, 128315, 128422, 128378, 128319, 127971, 128806, 129496, 128834, 129383, 128611, 129231, 128853, 128988, 128902, 129244, 128825, 128590, 128645, 128770, 129380, 128839, 128959, 128446, 128813, 128017, 128467, 128951, 129169, 128625, 128005, 128059, 129412, 128619, 129293, 128707, 127999, 128191, 128432, 128675, 128391, 128883, 129371, 129251, 128313, 128090, 128008, 129364, 128190, 128955, 129405, 128091, 128260, 127873, 130688, 128240, 128981, 129398, 128279, 129397, 128316, 128623, 128752, 128150, 128211, 129394, 128927, 129333, 128203, 128660, 129400, 128307, 128006, 128848, 127988, 128428, 129198, 128414, 127880, 128463, 129146, 127904, 128523]"
127243,"[128691, 127925, 127870, 128651, 129042, 129354, 128405, 127918, 129340, 129381, 128121, 128615, 128594, 128746, 128878, 128415, 128741, 128101, 128490, 127854, 129205, 128866, 128128, 128140, 128497, 129186, 128274, 128535, 127860, 128290, 129349, 128744, 128365, 129067, 129004, 128434, 128785, 129403, 128411, 128370, 128170, 127941, 128177, 128178, 128304, 128129, 128872, 128778, 128031, 129181, 128904, 128807, 128460, 128528, 129011, 128383, 127968, 128148, 128165, 128439, 128087, 128635, 128429, 129417, 129207, 129363, 128110, 127977, 129194, 129173, 128877, 128116, 128275, 129034, 129065, 129345, 128616, 129206, 129131, 129176, 127978, 129331, 128225, 128478, 128112, 129046, 128371, 129000, 129378, 129242, 128482, 128499, 129350, 128024, 128393, 128871, 129335, 129229, 128936, 129888]"
127244,"[128258, 127909, 127970, 129124, 128817, 128969, 128738, 127943, 128830, 129380, 128173, 128352, 127950, 128428, 129231, 129237, 128880, 129258, 128618, 128422, 127873, 127861, 129152, 129334, 128211, 128492, 128120, 129400, 129299, 129293, 128272, 128432, 128939, 128203, 128968, 128707, 128921, 128119, 129169, 128526, 128190, 129397, 129414, 128465, 129315, 129217, 129387, 129383, 128417, 128021, 129407, 129352, 128729, 128237, 128951, 128938, 129311, 128701, 128001, 129108, 129287, 129356, 128797, 128760, 127921, 129392, 128467, 128368, 129343, 128826, 128033, 128961, 129286, 128742, 128695, 129324, 128577, 128860, 128052, 128909, 128902, 129146, 128926, 128675, 128733, 129385, 129244, 128318, 128791, 127852, 127923, 128748, 128590, 127871, 128979, 129091, 128824, 128587, 128359, 128596]"
127245,"[128010, 128361, 128914, 128285, 129220, 127926, 129075, 128842, 127875, 128073, 128044, 128409, 129395, 128479, 128064, 128124, 128971, 128558, 128909, 127916, 128975, 129272, 128317, 129045, 129212, 128322, 128357, 128919, 128787, 128076, 128233, 128648, 129339, 128828, 128020, 129420, 128953, 128773, 127965, 129079, 129179, 129027, 128761, 128191, 129240, 128293, 128555, 128548, 128230, 127995, 128013, 129077, 128096, 128354, 128318, 128543, 127994, 128284, 128176, 128454, 129402, 128802, 128085, 128786, 128298, 128334, 128267, 128136, 127863, 129209, 128330, 129107, 129096, 129155, 128624, 129373, 128696, 127912, 129224, 130353, 129052, 128949, 128407, 129299, 128139, 127884, 129126, 129040, 128450, 129021, 127957, 127891, 128839, 128913, 129104, 129277, 129263, 128154, 128981, 129131]"
127246,"[129056, 127929, 128667, 128673, 129268, 129145, 128687, 129204, 129264, 128614, 128627, 128864, 128182, 128602, 129279, 128920, 128263, 128522, 127885, 128649, 128332, 128306, 128358, 128162, 128207, 128035, 128296, 128028, 128066, 128874, 129316, 128433, 128706, 128457, 129346, 127957, 127892, 129009, 129360, 128637, 129082, 129298, 128280, 129178, 128071, 129102, 128683, 129135, 129970, 129270, 128133, 128964, 128960, 128507, 128502, 127983, 128622, 129080, 127899, 129001, 129240, 129361, 129106, 129126, 129296, 127852, 127923, 129048, 127990, 129097, 128717, 129030, 128803, 128265, 128453, 129404, 127972, 128037, 128676, 128820, 128928, 129213, 127946, 129291, 129326, 128414, 129220, 128076, 129110, 128875, 127950, 128641, 129262, 129156, 129362, 129281, 128829, 129200, 128329, 129112]"
127247,"[128324, 128507, 128407, 129272, 128951, 128049, 129146, 129333, 128926, 130168, 128152, 128472, 128076, 128750, 129179, 129410, 128826, 128458, 128214, 128330, 129280, 128006, 128422, 128995, 129051, 128318, 128298, 129165, 127926, 128604, 128267, 129096, 129081, 128523, 128623, 129486, 129296, 129132, 128544, 128900, 128316, 128215, 127873, 127993, 127962, 129432, 128805, 128883, 128745, 127875, 127891, 129299, 127952, 128660, 128008, 128781, 128742, 128547, 128703, 128693, 129385, 128797, 129402, 128902, 128252, 128560, 129411, 128334, 129255, 128176, 128467, 128354, 128728, 128695, 129244, 128587, 128504, 129288, 128289, 129420, 128141, 129175, 128568, 129054, 128921, 129366, 128894, 127921, 128675, 128664, 128503, 128950, 127950, 128590, 128102, 129399, 128253, 128796, 129970, 128230]"
127248,"[128138, 128627, 128614, 129082, 128817, 128673, 127852, 127923, 128162, 129305, 128676, 129102, 128964, 128220, 129279, 129270, 129262, 128932, 127987, 128462, 127892, 128928, 127873, 129316, 128296, 128798, 128801, 128051, 129028, 129106, 128876, 128960, 128453, 128875, 128968, 128637, 129126, 128604, 128647, 128187, 129136, 128622, 128749, 129362, 128337, 127929, 128791, 128397, 129037, 128841, 128198, 128892, 129204, 128321, 127943, 129248, 129115, 129296, 128035, 129057, 128939, 128701, 128263, 129223, 128235, 128328, 129404, 128421, 127983, 128167, 128909, 128539, 129056, 129145, 128155, 129231, 128829, 128106, 128926, 128223, 129107, 128133, 128513, 128620, 128450, 127861, 128695, 128028, 128721, 128190, 128833, 128245, 129336, 129306, 128521, 128250, 127980, 129001, 128493, 128124]"
