aid	deepl_title
118272	"For the last time the ""House of Stories"" opens its doors"
118273	"The skylark is the ""Bird of the Year 2019"
118274	These 6 startups could take off in 2019
118275	Merkel does not come to Demmin
118276	Drivers speed through Refrath at 150 kilometers per hour
118277	Sunken party ship could be recovered soon
118278	These parents from Rhein-Erft had an unforgettable turn of the year
118279	Attackers shoot mayor hours after taking office
118280	What will be important in Cologne in 2019
118281	Five cars burn out in Kerpen - witnesses hear bang
118282	How children develop their own personality
118283	Why selfies in front of works of art can be expensive
118284	Number of people in employment at record level since reunification
118286	Father beats up showman after scary performance
118288	Uwe Koschinat worries about Fortuna Cologne
118289	The Cologne cultural highlights for 2019
118290	SPD in Brandenburg now only on a par with the AfD
118291	KEC hopes for permission to play for Ticar
118292	"Markus Eisenbichler wants to ""take distance from the hustle and bustle""."
118293	Why double standards are applied to attacks
118294	Werner Schuster is the father of success
118302	Naughty George is the number one
118303	Only the rested chicken is beautiful
118304	The Kerpen Capitol celebrates its 70th anniversary in 2019
118305	"Gladbach pays more than 30,000 euros for study on ""Cargocap"" system"
118306	Euskirchen needs more than 2900 more apartments by 2040
118307	Burkhard Thom publishes third dog anthology
118308	Albania's yearning for Europe
118309	Urns washed up on North Sea coast - shipping company admits mishap
118310	Unknown steal three cars from the German Post Office
118312	French have little confidence in Macron's reforms
118314	Church window of St. Remigius destroyed by firecrackers
118315	The New Power of the Democrats
118316	126,000 letters answered by the Christ Child in Engelskirchen
118317	Bomb threat against cinema after provocative free action
118318	Ghost train puts better cycling in the spotlight
118320	Hooligans demolish speed camera on the Auenweg once again
118321	Gerhard Fingerhuth retires after 44 years
118323	Ryoyu Kobayashi in a frenzy of speed
118324	Children allegedly burned cat paws with firecrackers
118325	"Freighter ""Zoe"" loses 270 containers - furniture and slippers on the beach"
118326	Arbor burned at school in Schlebusch
118327	Hundreds comb crime scene after death of mother of three
118328	Municipalities complain about mountains of waste caused by New Year's Eve firecrackers
118329	Why two local editors are taking a month of fasting in January
118330	"Annual booklet of the Nümbrechter ""homeland sounds"" appears"
118331	"Practical help for the broken system ""family"
118332	This family gives a home to children from difficult backgrounds
118333	16 companies with interest in Klause V
118334	City of Cottbus causes criticism with statement on knife attack
118335	Open air museum invites to a symposium
118336	Euskirchen's senior police officer becomes chief of the highway patrol
118337	The high security measures are considered a success
118339	16-year-old thieves flee from Cologne police
118340	Several operations on New Year's Eve - 2018 was a record year
118341	Bottrop attack triggers difficult debate over terms
118342	New climate ticket is a slow seller so far
118343	Wilfried Schumacher to receive pastoral assignment
118344	"Prevention campaign ""Colorful instead of blue"" launches"
118345	Deportation of the suspects not possible
118346	Oldest deacon in the archdiocese of Cologne died at 105 years of age
118347	"Assassin railed against ""Kanaks"" and ""black feet"" during interrogation"
118349	German refugee aid ships allowed to enter port
118350	Cologne Sharks furiously defeat Ingolstadt
118351	Right-wing extremists patrolling in Amberg
118359	Forest tutoring
118360	Police seek arsonist after fire at school
118361	"Cologne may no longer rent apartment - due to lack of ""sunlight"
118362	New main station in Wiesdorf nears completion
118363	Church visiting service in Eifel hospitals discontinued
118364	Rhein-Erft-Verkehrsgesellschaft now on the road with its own buses
118365	Babysitters tell what weird rules they had to follow
118366	Lutz Urbach gives an outlook - these topics will be important in 2019
118367	Zanders, Schloßstraße, F-Plan - where will Bergisch Gladbach be at the beginning of 2019?
118369	"China succeeds in landing on ""dark side of the moon"
118370	No result in Democrats' meeting with Trump
118371	From the Young Rhineland to Edvard Munch and Michael Jackson
118372	Straßen NRW spent a record amount on highways in 2018
118373	"Giant garbage catcher ""Ocean Cleanup"" with big problems"
118374	Reichshof enters the 50th year with justified confidence
118375	Firefighters save hundreds of animals from dying of thirst
118376	When the winter of the century hit the Rhein-Sieg district
118377	TV Herkenrath faces bitter end after regional league promotion
118378	With Stefan Hebbel, cooking has to be fun
118379	These wine bars attract in the Rhine-Erft district
118380	Eifel breeding bull Devito weighs in at 1300 kilos
118381	Last Porz city director died at the age of 91
118382	Demolition of the monument from 1870 is imminent
118383	Donald Trump again lashes out at Germany
118384	"""The Sea-Watch 3 needs support"""
118386	The big clean-up after the New Year's Eve celebrations in Cologne
118387	Ilona Schmitz from Sötenich slims down with TV chef
118388	"Netflix warns of ""Bird Box"" challenge"
118389	Nine months imprisonment for cheese thief from the Venloer
118390	Schwalbe Arena becomes an ice palace on Saturday
118391	Windeck student gives tips on fruit storage
118392	Moitzfelder collects New Year's Eve garbage from the street - waste collection leaves it lying around
118393	"""If we drop points, that's it""."
118394	Problems with the new generation of carol singers - donations for handicapped children
118395	Display at the solar bike path still does not work
118396	Number of victims rises after train accident in Denmark
118397	Exhibitionist urinates in federal police office
118398	Large majority of Germans in favor of firecracker bans
118399	Kim Jong Un's Diplomat Deposes
118400	Investigators take new approach to murder of 11-year-old Claudia
118401	Man drives into group of pedestrians and kills own child
118402	Cologne police search for betting shop thieves
118404	Missing person from Rösrath last located in Cologne
118405	In summer tourists can visit the wreck of the Titanic
118406	42-year-old woman assaulted by three men in Hürth
118407	Kachelmann comeback with stage fright
118408	Ryanair does not let 19-year-old in wheelchair fly with them
118410	Dog seriously injured in hit and run accident
118411	Drunk bites at police officer, won't leave police station
118412	Euronics store in Brühl closes at the end of January
118413	There will be no way through for motorists on Bonner Straße
118414	Dispute over Cologne green belt continues
118415	Christmas and New Year far from home
118416	"Thailand vacationers flee from ""Pabuk"
118417	100 scorer points are no longer a utopia
118418	More space for nature and environmental education
118419	President Bolsonaro triggers stock market boom - environmentalists worried
118420	Euskirchen actress trains with future doctors
118421	"Neuer not in ""Kicker"" rankings - Toni Schumacher: ""Courageous, but correct""."
118422	Amberg defends itself against accusations
118423	"""Bypass road has top priority""."
118425	Woman gives chase with police and crashes into patrol car
118426	Numerous congratulations for Michael Schumacher on his 50th birthday.
118427	Czech supermarkets must give food for the common good
118428	Hannover 96 delayed into training camp
118429	Simply do nothing
118430	Volunteers and army clear Dutch coastline
118431	Sharks captain Moritz Müller before comeback
118432	Outlook for the most important developments in Chorweiler
118434	Emergency physician tweets about increasing violence during rescue missions
118436	Truck gets stuck on bridge - high damage
118437	More than 2200 refugees died in the Mediterranean Sea in 2018
118438	Local transport associations dissatisfied with Deutsche Bahn
118439	Prosecution demands five death sentences
118441	Six car occupants flee from Cologne police after accident
118442	Malfunction in unit C of the Niederaussem power plant
118443	"When the ""emergency"" calls three times"
118444	Police stop transporter with unrefrigerated meat
118445	Ex-NPD politician Maik Schneider is released
118447	New enclosure over the construction site is erected
118449	Leverkusen as it once was - These places no longer exist like this
118450	Cologne police looking for burglar duo
118451	Shooter fired at man - shots mistaken for firecrackers
118452	"Population was afraid of ""man-eaters"
118453	Chip company bans Apple from selling these iPhone models
118454	The most powerful opponent of Donald Trump
118455	KVB train of line 1 collides with car
118456	These erotic toys can be spied quite easily
118458	Lauterbach talks about clean air and highway plans
118459	Cause of lantern failure at Schnabelsmühle traffic circle resolved
118460	Teenagers caught in cigarette vending machine blast
118461	Student Nico Lewin wins audience award
118462	Larp - the desire to be someone else for a few days
118463	February to be the first meeting in the new civic village
118464	Federal agency boss pleads for reform - SPD criticized
118465	How suitable is the Cologne language for everyday use?
118466	Diabetes - A disease as a companion for life
118467	This picture from Lindlar traveled halfway around the world
118468	Markus Eisenbichler is on his way to becoming the winning jumper
118469	Strikes threatened in tax offices - six percent wage increase demanded
118470	The revolutionary from the bakery
118472	Neuer's aura of the indomitable has long since faded
118473	Shared power is the new hope for America
118474	This is why the Kölsch band Lupo loses its singer
118475	Cologne/Bonn Airport benefits from Ryanair growth
118476	"""More wages instead of debt reduction"""
118477	Kerpen fan club chairman congratulates Michael Schumacher on the radio
118480	Waldbrölerin is life-threateningly injured in accident
118481	City of Bonn does not get rid of blue phones
118487	These candidates are moving into the jungle camp in 2019
118489	"""Star magic"" has succeeded"
118490	Politicians and property owners criticize the city
118491	Here's how fitness trainers influence whether we hate or love our bodies
118492	Neighbors of the asbestos-contaminated Ville Express write to administration
118493	Savings boxes looted in Klein's Eck restaurant in Hennef
118494	Greens call for restrictions on fireworks
118495	Future of the Postbank branch on Winkelpfad still open
118496	Chempark faces year with much uncertainty
118497	"""Fight scenes have to look so fucked up""."
118498	No end to the US shutdown in sight
118499	Two children freed from hands of Lev Tahor
118500	More and more Asian tourists love Cologne Christmas markets
118501	"Foothills of tropical storm ""Pabuk"" reach Thailand"
118503	Police now also check Hambach Forest at night
118504	Association wins new singers thanks to this poster
118505	Carpool benches project starts sluggishly in Kürten
118508	Methanol to be produced without fossil fuels
118509	Hackers publish data of politicians and celebrities
118510	Police Duisburg examines clues to the found bag
118511	Shortage of train drivers leads to massive train cancellations
118512	RWE: Resettlement at Garzweiler open pit mine continues
118513	Deutsche Bahn and train drivers reach agreement on collective wage agreement
118514	Explosion in front of AfD office in Saxony
118516	Police find body parts in apartment
118517	Morsbach builds on the future - not only at the station
118518	Unemployment at lowest level since reunification
118519	13 Canadians arrested in China
118520	Owner of Bonntor-Center sues city of Cologne
118521	Mother warns strongly against magnetic toys
118522	Senior citizens from Riehl reach for the spray can
118523	Ex-Cologne Mavraj meets FC in the second half of the season
118524	"When Cologne locations are in ""Tatort"" in Düsseldorf"
118525	Man throws bitch from bridge into the Ruhr - Witnesses wanted
118526	Taxpayers' association calls for reduction in road construction fees in 2019
118528	"""I was bullied as a child"""
118529	What do braces really do?
118530	Rösrath train station is being redesigned
118531	World class musicians play for burnt down high school
118532	Money does not play the best football
118533	Eternal duel defense against offense
118534	The Nubbel threatens the conflagration
118535	Original 50s feeling in the Linden Theater
118536	Chase through the city center of Cologne
118537	Hand luggage with low-cost airlines - with whom is it still free?
118538	Cologne Central Station hostage-taker appeals against detention
118539	Two people seriously injured in head-on collision
118540	All info about the siren test alarm on January 5, 2019
118541	Vietnam bans government officials from flattery in workplace
118543	Peter Bosz introduced at Bayer 04
118546	Police arrest two teenagers - stolen license plate and car
118547	20 masked men throw shopping cart in front of suburban train and set off smoke bomb
118548	Cigarette vending machine blown up
118549	Cologne court sets up chamber for sexual offenses
118550	"The ""Voca People"" celebrate their NRW premiere in Cologne"
118551	What else the iPhone headphones can do
118552	Fare dodger hides stolen smartphones under armpits
118553	New managing director wants physician network in the region
118555	Farmers want to save their farms with these ideas
118556	Arrested man has contact with the rocker scene
118557	Suspect from Paderborn is extradited
118558	Longer skating on the Ebertplatz
118559	Henning Krautmacher receives the Order of Merit of the Federal Republic of Germany
118560	ManCity keeps title fight in England exciting
118561	Test for the emergency in Leverkusen
118562	Kobayashi also wins in Innsbruck
118563	Expert does not believe in perpetrators from right-wing scene
118565	Flotsam washed up on Borkum - prohibited to take away
118567	Robert Habeck and other Greens file criminal charges
118568	75-year-old car driver skids on rain-soaked road
118569	"2019 as the ""Year of Opportunities"" in Oberberg"
118570	Rollover on slippery Sauerland line - Gummersbacher injured
118571	Reports of clause in Meré's contract cause confusion
118572	City counts more than twelve million cyclists for the first time
118573	Traffic chaos looms on the return journey from the skiing vacation
118574	Neuralgic points cause headaches
118575	Better, more beautiful, faster - the high demands on Peter Bosz
118576	Making the Russian soul sound
118586	High-flyer Ryoyu Kobayashi has Grand Slam in sight
118587	On a tour with the new village sheriff of Wipperfürth
118588	1. FC Köln has an intensive preparation ahead of it
118589	Election of Mister and Miss NRW takes place in Cologne
118593	Trump threatens more than one-year budget freeze
118594	Right-wing populist president sworn in Brazil
118595	81-year-old woman trapped by fire
118596	Colby Genoway brings Cologne Sharks work victory against the Roosters
118598	Why The Three ??? are still so successful
118599	Hiking through the desert with camels
118600	This is how a driven hunt in the Oberberg region works
118601	Raids in twelve Cologne shisha bars
118602	Association board diverts money for dialysis station
118603	Congresswoman threatens 'motherfucker' Trump
118604	"How the woodruff liqueur ""Flimm"" became a success story"
118605	BUND attacks administration and politics
118606	When passengers are left out in the rain in Kürten
118607	"""Animal plate"" in the Eifel supports distressed owners"
118608	No space in the school - Everything must be planned anew
118609	Britney Spears cancels all Las Vegas appearances until further notice
118610	"GDR rocker wins ""The Voice Senior"" - criticism on social networks"
118611	Garbage cans catch fire - residential building in Neubrück evacuated
118612	Parents blame clinic for death of little Selin
118613	What the vacuum robot has to do with the future of mankind
118614	What happens next with Anthony Modeste
118615	Carolers are in action in wind and weather
118616	Winning design for redevelopment of the city center has been determined
118618	Number of unemployed declines slightly
118619	Freeway bridge in Overath to be refurbished from the end of May
118620	25 apartments to be built at Luisenhöhe
118621	New contract of Hellenthal and Kall should facilitate administrative work
118622	Seven-year-old from Erftstadt survived fall from ski lift
118623	Helena recruits for the police on YouTube
118625	Mobile communications network in Cologne subway tunnels to be significantly improved
118626	Several victims after shooting in bowling center
118627	Great interest in buying the Adenauer Villa ruins
118628	Ordinary traffic control ends in tragedy
118629	Man overturns ambulance and attacks paramedics
118630	"""Yellow vests"" protest again in France"
118633	More flotsam expected after freighter accident
118634	Number of bicycle accidents in NRW cities increased in 2018
118636	Heavy snowfall in Bavaria - 120 flights cancelled
118637	Four year old cute apologizes to the police
118638	Netflix invests big money in stand-up comedy
118639	Franck Ribéry insults critics in the worst way
118640	How the Rhein-Energie-Stadion becomes an ice hockey cathedral
118641	NBA pro Enes Kanter forgoes London trip
118643	An embarrassing problem for FC Bayern
118644	Cologne trees attacked by fungus after dry summer
118646	40 years ago the Eifel sank in the snow
118647	Retailers entice customers with discounts and accommodating exchange policies
118648	The new Sieglar school center could look like this
118649	Renewed clashes with the police in France
118650	Weco promises clarification because of swastika firecracker
118651	Pascal Zerressen drops out with torn ligaments
118652	Five-year-old drowns in swimming pool
118653	Eitorfer completes twelve marathons in one year
118654	Final spurt for building complex next to Giesler Galerie
118655	Rosy times for qualified employees
118656	"""It's easier without Mrs. Merkel"""
118657	Woman in the USA gives birth to child
118659	Odenthaler cycles 2400 kilometers to Finland
118660	Here there is no off-the-peg wedding
118661	"Checkerspot butterfly is ""Butterfly of the year 2019"
118662	East-west axis, schools, housing - this is the state of the city
118663	"""Escape game"" venues to be reviewed nationwide"
118664	115 employees produce individual roller shutter boxes in Zingsheim
118665	I guess you can't do it without banging
118666	Bavarian pastor wants to reach men better with whiskey evening
118667	High avalanche danger in the Alps - 20-year-old woman dies in an accident
118668	Golden Globes are awarded - these are the candidates
118669	High fine for Ribéry - Salihamidzic shows understanding
118670	Web school in NRW increasingly popular - long waiting list
118673	Olaf Scholz positions himself as possible SPD candidate for chancellor
118675	Trouble over kebab stores in Cologne's Weidengasse
118676	New attempt for five-color traffic light on foodstuffs
118677	Prokop surprisingly removes European champion from line-up
118678	These are the songs the people of Cologne have listened to most in the past year
118679	There is also a lot going on in the district in 2019 - a first overview
118680	Niki Lauda is in intensive care again
118683	Beaches closed due to dangerous cnidarians
118684	Another shooting on Friday - police investigating connection
118686	At least 30 people die in gold mine collapse
118688	Police receive first clues after photos of dead bitch
118689	Cabaret artist Evertsbusch reacts with poem to KVB price increase
118690	Leverkusen's old stars shine indoors
118691	"""If there's one thing you can't do, it's music."""
118692	"Operator of ""Escape Game"" arrested - long imprisonment threatens"
118694	"""Hollywood loves women who make themselves ugly""."
118696	Cabaret artist Konrad Beikircher celebrates the Rhenish soul
118697	Celebrities fight for title at darts world championship in Cologne Maritim
118699	"Ham & Egg presented ""Cream Pieces Deluxe""."
118700	With the prince proclamation the celebration continues in Cologne
118701	King of hits Orloff with Cossacks in Bergisch Gladbach
118703	Chimney sweep on surprise visit to the Cinedom
118704	Successful traffic checks by the police
118705	US congresswoman fights back against criticism of dance video
118706	Christian Lindner lashes out at CDU and Greens
118707	40-year-old man hit by train in Brühl - seriously injured
118708	Philharmonic Orchestra brings Darth Vader and the Empire to the stage
118709	"""Stand up"" movement outraged with tweet about broadcasting fee"
118710	Two Germans killed in avalanches
118711	Colorful air show in the Voss Arena
118712	Cologne Sharks win penalty drama in 22nd attempt
118714	Fire rages in the Bergfried sports home in Heimbach
118715	Minors under suspicion of murder
118716	15 carnival societies compete for the cup
118717	Lasse Sobiech returns with fighting spirit
118718	Women in Saudi Arabia now learn of divorce by text message
118719	Goal drought annoys captain Hamdi Dahmani
118721	Bayer 04 Leverkusen's new jeweler
118722	23-year-old declared brain dead after accident on way home from discotheque
118723	Kobayashi succeeds in Grand Slam - Eisenbichler second
118724	18-year-old from Giessen missing in Egypt
118726	Radical Islamists attended Ditib conference in Cologne
118727	Toilet paper from drugstore dm triggers hoarding purchases
118728	Ribéry disgraces himself and FC Bayern Munich
118729	"Low ""Benjamin"" causes severe squalls"
118730	Fraudsters prey on data of savings bank customers
118731	Franck Ribéry speaks out after obscene outburst
118732	"""Onward, onward"" leads the viewer by the nose"
118734	Four injured in traffic accident in Kerpen
118735	Wayne Rooney temporarily detained
118736	The first knighthood for a woman - meeting of the Knights Guild
118737	Versed on the latest Wersi
118738	More jecke Mädscher than seats
118739	Not an easy year for Mazda - Review 2018
118741	Routledge gospel
118742	Second life for small devices
118743	Badge of honor for Rüdiger Otto
118744	Orpheus' underworld op Kölsch
118745	Elimination of Cologne pigeon disgust delayed
118746	Construction site at the Rhine bridge causes trouble for cyclists
118747	Euskirchener triumvirate enjoys super start
118748	Despite setbacks, the expansion is making progress
118749	Financial injection from the church choir Cäcilia Dattenfeld
118750	Kerpener city triumvirate starts into the session
118751	Commentary on the closure of the Rhine bridge construction site
118752	Muslims meet in camera
118753	"The ""Sattgrün"" also convinces meat devotees"
118754	BKA follows up first lead - raid in Heilbronn
118755	Elaborate conversion work for the premiere on an ice-cold stage
118758	The Ichó therapy ball is designed to help dementia patients stay fit longer
118759	"""Pneumissimo"" sings together in Troisdorf against respiratory distress"
118760	The most diverse Three Kings in Rhein-Berg
118761	Area on Max-Delbrück-Strasse to be expanded
118762	Employment at record level in Euskirchen
118763	Lignite secured electrification and upswing
118764	Judge orders Kevin Spacey to stand trial
118765	Heidi Klum cozies up with Tom Kaulitz on the red carpet
118766	Troisdorf trifolium stirs the drum
118767	How Green politician vehemently defends herself against bodyshaming
118768	2-Euro coin is offered on Ebay for 80,000 euros
118769	Cologne farce about battered subway staircase
118770	Local sports landscape in focus
118771	Opladener Altstadtsfunken terminate event-free time
118772	Oberbergischer Kreis seeks family mentors for political project
118773	Thailand does not want to force young Saudi Arabian woman to leave the country
118775	Heinz Kowalski took a look at the bird population
118776	"The KVB driver from ""Tatort"" - This is how hard his real everyday life is"
118777	Father abandons daughter on street
118779	Robert Habeck says goodbye to Twitter and Facebook
118780	Mechernich residents will soon be able to obtain information about the budget online
118782	Visitors from the Far East shine at Cologne Zoo
118783	Hope for more help with sewage fees in Hellenthal
118784	"Museum seeks ""best duck"" - then the situation escalates"
118785	19-year-old from Kerpen teaches children with handicaps
118786	Malaysian Sultan abdicates because of Miss Moscow
118787	More ATM blasts in NRW
118788	Home improvement store employee saws off several fingers
118789	"Presenter rages against ""idiots on television"
118791	18 million Instagram followers - This is what makes Ribery's steak guru tick
118792	Robber assaults UFC fighter and gets badly beaten up
118793	State security warns of growing influence of Muslim Brotherhood
118794	Most of the Zoe containers are located
118795	Thomas Gottschalk becomes guest judge with Heidi Klum
118796	What you need to do to better protect personal data
118797	Blue telephones in Cologne are to be removed
118798	Ryanair leaves passengers behind in Romania
118800	Surviving dependents sue Lufthansa for compensation for pain and suffering
118801	Police raises cannabis plantations
118802	"""Delay scarf"" is auctioned on Ebay"
118803	Reiermann butcher store in Zollstock closes - stores follow suit
118805	Cube Real Estate presents plans of its new building
118806	Modepark Röther is coming to Lohmar as early as 2019
118807	Rösrather Dreigestirn starts into the session
118808	Disaster alarm triggered in Bavaria and Austria
118809	With which diet product from the pharmacy you really lose weight?
118811	"""We can't pretend that none of this is any of our business"""
118812	Cologne daycare children to be safer on the road
118813	Fraudsters have no chance with Leverkusen senior citizen
118814	Cologne police search for suspected handbag robber
118815	Gold chains stolen in Küppersteg
118816	New islands planned off Copenhagen
118817	Dennis E. allowed to return to Germany from Turkey
118818	Toddler paints folding tables - so surprising reaction of the mother
118819	"""The fact that she's gone now hits me hard""."
118820	Fighter jet canopy rips off in flight - Israeli pilots survive
118821	Colorful air show held in the Voss Arena
118823	"Brass ensemble ""tuba mirum"" inspires in Reichshof"
118825	Kevin Spacey Pleads Not Guilty
118826	Collection of Christmas trees in Leverkusen, Burscheid and Leichlingen
118827	Police send wedding speed camera as a souvenir photo
118828	VfR becomes city champion in indoor soccer
118830	Audience sings along at the concert of the St. Nicholas church choir
118832	Tianjin boss in custody - club allegedly lost playing license
118833	KVB sends parking ticket to dead girl
118835	Ben Hanowski missing for weeks
118836	Dahlem is growing - contrary to forecasts
118837	Suspicious object found in Düsseldorf airport
118840	Perpetrator was already in the sights of the police
118843	Inmate dies after suicide attempt in JVA Ossendorf
118844	Weather service warns of strong gusts in Cologne and region
118845	Out of the FA Cup - Liverpool concedes second defeat in a row
118846	Dangerous coexistence in Cologne-Bilderstöckchen
118847	Days of the passbook are numbered in the Euskirchen district
118848	Family became victims of speeders
118849	Dealer must be imprisoned for two and a half years
118850	District library in Schlebusch is open again
118851	Volunteer feels unwanted by city and gives up
118852	Kim Jong Un makes surprise visit to China
118854	Fire in the production hall of a foam factory
118855	Construction boom and stable taxes in Gummersbach
118856	Amazon is most valuable company in the world as of
118857	Defective trucks on A57 and A59 cause long traffic jams
118858	Solar power charging station with fast charging points opened
118859	Soldiers beheaded in Leverkusen another time
118860	Supermarkets, garbage and Kürten soon with 20,000 inhabitants
118861	There is also a grain of arrogance behind Habeck's social media withdrawal
118862	Mixed start for Rhein-Erft-Verkehrsgesellschaft
118863	Two Cologne discover forgotten village in the jungle
118864	Perpetrator sentenced to three and a half years in prison
118865	Housing in NRW is becoming increasingly expensive
118866	Who has to pay for the Christmas lights?
118867	"Ribéry's golden steak is ""decadent bullshit cuisine"""
118869	Blind horse rescued from deep ditch
118870	Suspected student cites anger at politician as motive
118871	First pollen fly again already
118872	Parking directly at the terminal becomes significantly more expensive
118873	Weather service sees no exceptional snowfall this winter
118874	How do emergency services and police get through traffic jams?
118875	Young people should participate on the net
118877	Uber driver confesses to killing six people
118878	Significantly fewer people in NRW contract measles
118879	Children's university in Bonn continues
118880	Where do the sandwiches taste best?
118881	Experts are not biased according to the court
118882	75-year-old woman rams other car in Bergisch Gladbach
118883	Trump's adviser Bolton promotes U.S. Syria policy in Turkey
118884	Bundeskunsthalle plans major Goethe exhibition
118886	"What the little ""i"" in Apple products really stands for"
118887	New study to increase safety
118888	Berlin clan members stand trial
118891	"OB Reker ""irritated"" about conference with Muslim Brotherhood"
118892	Ex-child prostitute Cyntoia Brown walks free
118894	This is the youngest orchestra conductor in the Oberberg district
118895	The moon dreams continue unabated
118896	Young couple in the Eifel almost died in their sleep
118898	Cologne takes over electronic archiving for Bergisch Gladbach
118900	Finnish footballer renounces training camp in Qatar
118902	NRW to introduce second year of free daycare
118903	Is being late enough for a warning at work?
118904	Vehicle registrations soon possible online
118905	Lantern falls onto van - 70-year-old woman slightly injured
118906	Cyclist is hit by freight train and fatally injured
118907	Snowed-in German rescued from hut
118908	Charges against garbage truck driver after accident in Widdersdorf
118909	Suspected Düsseldorf woman killer indicted
118910	Two suspects from Cologne arrested after alleged killing
118912	Conversion could begin in 2019
118913	Disgusting mass clogs British sewer
118914	The beavers are back - After 140 years of absence
118915	Dispute between orchestra and Erftgymnasium
118916	Waste fees rise slightly - crowds at recycling center
118917	Person responsible for spy scandal confirmed as association vice president
118919	Police search for gang of notebook thieves
118920	For this culinary ostentation politicians got trouble like Ribéry
118921	Where is it better to live - in the city or in the country?
118922	Politicians from AfD and Left particularly frequently attacked
118924	Mysterious buildings on the Outer Green Belt are history
118925	Seehofer defends himself against accusations of inaction
118926	Police officer suspended after shooting at playing Chihuahua
118927	Tree threatened to fall onto tracks near Siegburg due to storm
118928	600 injured and killed in head-on crash
