aid	deepl_title
128949	"Hüttel after ski jumping single: ""Completely irregular""."
128950	State continues to reject A3 tunnel in Leverkusen
128951	"The KVB oil sardines with the ""just two minutes"" mantra"
128952	The social side of carnival
128953	"Jecke ""trecken through Hetdörp"" and defy the dirty weather"
128954	Spain's La Liga abolishes unloved Monday matches
128955	Suspected knifeman surrenders to Cologne police
128956	Einmol Mann zo sin - with all the clichés
128957	German ski jump rage in the snow lotto of Seefeld
128958	Jecke in Rhine-Erft fear for the Rose Monday processions
128959	Captain Reus returns to BVB starting eleven against FC Augsburg
128961	Stabbed in the upper body: Suspect turns himself in
128962	Union Berlin defeats Kiel and moves into second place
128963	Bläck Fööss star Bömmel Lückerath on the road to recovery
128964	Stewart Copeland listens to hip-hop with his daughter
128965	MSV Duisburg no longer last after victory
128966	"Ministry admits mistakes in ""Gorch Fock"" refurbishment"
128967	1. FC Magdeburg loses to MSV Duisburg with 0:1
128968	Police were mainly on duty in Wipperfürth and Lindlar
128969	Number of tourists coming to Cologne increased slightly
128970	When companies advertise with taboos, the stakes are high
128971	Mavraj's cellar kids challenge 1. FC Köln
128972	Cologne Sharks stumble in Berlin
128973	FC Augsburg shocks Borussia Dortmund
128974	Shot-putter Storl wins silver medal at European Indoor Championships
128975	Inter Milan loses before Europa League match in Frankfurt
128976	BVB fails to score: heavy defeat at FC Augsburg
128977	Fascinating zoch of lights in Eiserfey
128981	This brings the winter sports on Friday
128982	Still she tears off cards
128985	"""We were not concerned with judgments"""
128986	FC St. Pauli wants important points for promotion in Paderborn
128987	What you can do wrong when booking a flight
128988	New road stands on 3000 pillars - considerable expense
128989	"NADA: Blood doping immediately before competition is ""new"""
128990	Parallels between World Ski Championships and the Fuentes case
128991	Double world record gaffe: confusion at Weinstein & Co.
128992	BVB criticized by advisor Sammer after 1:2 in Augsburg
128993	Resigned prince goes along in strange train - Münstereifel stunned
128994	Doctor fights for the trees in Schleiden
128995	"""No other region has such potential"""
128996	Fire in Nuremberg kills four children - Many ambiguities
128997	Ryanair makes provision for hard Brexit
128998	This man organizes the smallest carnival procession in the world
128999	Train of lights winds through Eiserfey
129000	Fire disaster in Nuremberg: Four children and one woman dead
129001	Dispute over basic pension: CDU workers present compromise
129002	Zverev easily reaches final in Acapulco
129003	Home birth with fire department: baffled couple has daughter
129004	NRW Ministry of the Interior: Pug may not be seized
129005	Schröcksnadel: German athletes involved in scandal
129007	The road never lets you go
129008	Further punitive measures by the USA: pressure on Maduro grows
129010	Why Bützen actually has nothing to do with kissing
129012	Fans and friends celebrate the reopening of the Shadow
129013	One in four young people is bothered by mosques
129014	Between Burscheid, Carnival, Cruises and Kobe
129015	These recipes help with hangovers and throughout the day
129016	Failed train stops - mostly the fault of the railroad itself
129017	Amazon to launch supermarket chain in major cities
129018	Investigators continue to search hard for Rebecca
129020	Actress Katherine Helmond is dead
129021	Wolfsburg balancing act between dissent and sporting goals
129022	After disaster in Poland: Escape Rooms checked nationwide
129023	Tedesco appeals to basic virtues of Schalke pros
129024	Organized crime: debate on shifting the burden of proof
129025	Chicago Bulls and Atlanta Hawks play four overtimes
129026	Heino's legacy: kick-off of the farewell tour
129027	Painter and master forger Wolfgang Lämmle died
129028	Dortmund woman notices pregnancy only at birth
129029	Anna Loos has solo more desire for social media
129030	First win of the season for Podolski in Japan
129031	Only two judgments have been made
129032	"Fastnacht ahead: ""Mainz bleibt Mainz"" remains ratings hit"
129033	Heldt ahead of basement duel at VfB: No preliminary decision
129034	Merkel praises student demonstrations for climate protection
129036	German combined athletes in fourth place after jumping
129037	Düsseldorf wants to decide on Shrove Monday procession at short notice
129038	Labor Minister Heil wants to take action against dumping wages of parcel delivery workers
129040	After failed summit: Kim also leaves Vietnam
129041	Alfred Biolek hardly watches TV anymore, drinks non-alcoholic wine
129042	Defective horn causes large-scale police operation
129043	29-year-old man hit by car and critically injured
129044	Digital textbooks should make learning more exciting
129045	Weather on Shrove Monday: Cologne Festival Committee confident
129047	Doris Dörrie: Even the happiest families have conflicts
129048	Song of the session is not particularly kölsch
129049	Hollywood star McConaughey: With aid programs against drugs
129050	Important away win for Aue - Meier scores for St. Pauli
129051	Jahn Regensburg ends Heidenheim's series
129052	SV Sandhausen remains bottom of table after 0:3 against Aue
129053	Meier saves St. Pauli victory in Paderborn
129054	"Rosen on interest in Joelinton: ""There are bigger clubs"""
129055	This was the carnival procession in Kerpen-Brüggen
129056	"""Grüffelo"" inventor considers British citizenship"
129058	Demonstration of Kurds in Deutz proceeds peacefully
129059	RB Leipzig in Nuremberg without Werner who is ill
129060	German combined athletes win silver in the team
129061	Funeral service for Finland's ski jumping legend Matti Nykänen
129062	Tottenham with happy draw before second Dortmund game
129063	Fortuna Cologne earns point against Lautern
129064	31-year-old Gummersbacher commits hit-and-run under the influence of alcohol
129065	"Kahn on Bayern post: ""Can definitely imagine it""."
129066	Six people injured by fire on carnival float
129067	Parades of samba schools crown Brazil's carnival
129068	A touch of Rio
129069	Ski jumping mixed: German team in the lead at half-time
129070	FC Schalke disgraces itself with 0:4 against promoted Düsseldorf
129071	Brandt active everywhere, Bailey rewards himself
129072	Leverkusen back on course for Europe after victory over Freiburg
129073	Stark makes up for own goal against Mainz
129074	Debacle for Schalke - Frankfurt with last-minute win
129076	Bayer fan falls from fence and seriously injured
129077	FC Bayern in Gladbach with Neuer and Müller
129078	Defending champion Welte comes away empty-handed in time trial
129079	How the people of Bensberg celebrated on the street
129080	Bayer with work victory - Julian Brandt becomes central figure
129081	Bayer central defender Sven Bender suffers head wound
129082	Selke injured - Dardai: It does not look good
129083	Female astronauts and 100 years of women's suffrage at the Zoch
129084	PSG continues to win in the league - Mbappé's brace in Caen
129085	Bläck Fööss singer collapses: On the road to recovery
129086	Tönnies: No quick decision on coach issue
129087	Fuss over yellow cards for Leipzig's Konaté in Nuremberg
129088	About prejudices and Cologne neighborhood
129089	The most beautiful pictures of the Südstadtzug in Euskirchen
129090	Ingolstadt is strong where Cologne has its weaknesses
129092	18-year-old crashes through false ceiling: danger to life
129093	Bayern's lightning starters draw level with Dortmund
129094	A turning point in the Bundesliga title fight
129095	Undead and samba troops populate Lindenthal
129096	Doping quake in Seefeld hardly addressed
129097	Lewandowski draws level with league record-holder Pizarro
129098	Son of Camorra boss arrested after 15 years on the run
129099	Löw raises hopes for ter Stegen
129100	Leaders reach agreement in collective bargaining dispute over public service
129101	Milan jumps to third place - Lazio wins city derby
129102	Next Clasico victory for ter Stegen with Barca
129103	Collective bargaining dispute for public service in the federal states settled
129105	Oberbergerin shows handbags in TV show
129108	Life-threatening search in the rubble of the Cologne City Archive
129109	In this case the viewer knows
129110	Eight percent wage increase for state employees
129111	Carnival tourist has fatal accident in Cologne-Mülheim
129112	Ibrahimovic scores winning goal against Schweinsteiger team
129113	"Prosecutor after raid: evidence ""almost overwhelming"
129114	"Oliver Kahn wants to ""take it slow"" on his Bayern return"
129115	VDA expects car production in Germany to fall
129116	Concern about populists: Heil urges social reforms
129117	Auto industry faces tough times
129118	Bayer CEO complains about risk fixation in Germany
129119	Amazing upward trend: Düsseldorf rocks the Bundesliga
129120	DEG in trouble: Home advantage and top scorer Gogulla gone?
129121	From the alter ego of the mayor Dr. Karthaus from Engelskirchen
129122	Fools face a stormy Rose Monday
129125	Is the cover letter a discontinued model?
129126	Schull- und Veedelszöch start
129127	Majority would not mind end of grand coalition
129128	"Cardinal Woelki: ""God speaks Cologne""."
129129	Bare rage at Schalke: Coach Tedesco facing exit
129130	Fraud investigation also against professional cyclist from Austria
129131	Experts search for cause of fire tragedy in Nuremberg
129132	Kramp-Karrenbauer jokes about intersexuals
129133	The last shave: Jesus at the barber shop
129134	Refuge Mainz - Eva Menasse becomes town writer
129136	NADA: Currently no evidence of Germans in doping scandal
129137	Gladbach on a downward slide: Threat of falling out of top flight zone
129138	"The ""Emperor of Seefeld"" makes the combiners happy"
129139	"Leverkusen with European Cup prospects - ""Not impossible""."
129140	"Late luck for Eintracht: ""Momentum gained for Inter""."
129141	Manchester City must once again do without Kevin De Bruyne
129142	Who is Karl Lagerfeld's successor Virginie Viard?
129144	VW boss sees German auto industry facing critical year
129145	The winners are decided, it was damn close
129146	"""Take out shield bearers, large figures or horses""."
129148	2-1 win for 1. FC Köln at Ingolstadt
129149	Shrove Monday procession takes place - but without horses and large figures
129150	Cologne commemorates archive collapse: stop carnival processions
129151	Pug affair reaches the state political stage
129153	Lions in the round of 16 against Nantes: Up to any task
129154	Jasmin Tabatabai no longer travels to Iran
129155	Cologne Shrove Monday procession takes place: With restrictions
129156	The best sayings from the 24th matchday of the German Bundesliga
129157	The Jecken from Schleiden had a lot of fun at the carnival procession
129158	Poker for Werner: Rummenigge taunts Leipzig
129159	Merkel praises Friday student demonstrations
129160	Predicate stupid - A commentary
129161	BMW driver driving through Niehl at 190 km/h
129162	Environment minister has exhaust gas measuring stations checked
129163	Uber rival Lyft aims to go public with deep red numbers
129164	Cologne police record more crimes on carnival days
129165	BGH confirms murder sentence against speeders for the first time
129166	It snows popcorn for the Jecken in Hollybusch
129167	15-year-old critically injures man with glass bottle
129170	Jecke parade through the Cologne neighborhoods
129171	Famous Instagram hedgehog dies after tooth surgery
129173	The Jecken in Heiligenhaus had a lot of fun at the carnival procession
129174	Stormy Shrove Monday - Fools between hope and trepidation
129175	Silver for shot put ace Schwanitz: Two centimeters missing
129176	"""Little to celebrate"": Guaidó announces homecoming and protests"
129177	2080 Jecke celebrated the carnival procession in Troisdorf
129178	Six criminal charges for assault
129179	Colorful fun at the carnival procession in Rheidt
129180	1. FC Cologne wins 2:1 in Ingolstadt
129182	Cool 1. FC Cologne in carnival mood after victory
129183	Jecke in Großbüllesheim had creative costumes at the carnival procession
129184	Hector makes the difference, Modeste rarely seen
129185	Police arrest 20-year-old exhibitionist and thief
129186	Jecke in Brühl made mood at the carnival procession
129187	The voices on the victory of 1. FC Köln
129188	Grammozis debut for Darmstadt 98 fails at Bielefeld
129189	Dynamo Dresden draws 2-2 with VfL Bochum on Fiél debut
129190	Porsche must repay millions
129191	Alcohol in particular claims victims again
129192	The Jecken in Mechernich had a lot of fun at the carnival procession
129193	"Verona Pooth is called ""El Commandante"" by her children"
129194	The Werkself becomes a soccer machine
129195	1st FC Cologne in carnival mood: 2:1 in Ingolstadt
129196	15-year-old Leverkusen man arrested for attempted murder
129197	Jecke in Stommeln celebrated exuberantly at the carnival procession
129199	Jecken from big to small celebrated the carnival procession in Bergheim
129200	17-year-old seriously injured in knife attack in Neuss
129201	Cologne consolidates lead in table - Union Berlin new runner-up
129202	22-year-old kicks man lying on the ground
129203	Missing Lindenthal woman returned safe and sound
129204	In Wielde is always circus
129205	Colorful fun in Bedburg at the carnival procession
129206	Win in Mannheim, playoff quarterfinal against Ingolstadt
129207	Cookie monsters and astronauts on the road in Forsbach
129209	"The motto ""Leverkusen olé"" implemented wittily and politically"
129210	The drums create the atmosphere at the carnival procession in Wesseling
129211	Hamburg celebrates Loki Schmidt's 100th birthday
129212	"""Quite sovereign"": Gold for Kluge/Reinhardt in Pruszkow"
129213	Comedy with Tyler Perry starts well in US cinemas
129214	The carnival parades in the Cologne area were so beautiful
129215	The Jecken were hardly recognizable at the carnival procession
129216	Hope of VfB Stuttgart lives - victory against Hannover 96
129217	"Power struggle rages - Veh complains of ""irreparable loss of confidence"
129218	No derby in DEL playoff fourth final
129219	Cologne commemorates the victims of the collapse of the city archive
129220	The carnies in Bergisch Gladbach had a lot of fun at the carnival parade
129221	Police use tear gas against demonstrators in Algeria
129222	Three brothers rock the carnival in Immekeppel
129228	"Doll after 1:5 in Stuttgart: ""Nothing to do with Bundesliga""."
129229	Liverpool FC only second after 0-0 draw at Everton FC
129230	So far, eleven asylum seekers who continued without permission have been turned away
129231	86-year-old man rolls over several times - life-threatening injuries
129233	CDU leader irritates with mockery of third gender
129234	Battle for power at 1. FC Köln
129235	Controversial documentary on abuse allegations against Michael Jackson
129236	1:1 against Bremen: Wolfsburg misses out on home win
129237	Federal Minister for the Environment wants to facilitate the shooting of wolves
129240	More participants, less audience at the Ründerother train
129241	What envy can do to people
129247	Burnt food triggers fire department operation
129248	Queen of Rock: Hamburg in Tina Turner fever
129249	Elon Musk's unmanned spacecraft reaches the ISS
129250	Carnival parades attract hundreds of thousands of spectators
129251	Balotelli celebrates goal in Instagram story
129252	Cabaret artist Werner Schneyder dies at the age of 82
129253	Always open to controversy
129254	Two men report abuse by Michael Jackson
129255	Hundreds of thousands of fools expected at Shrove Monday parades
129257	Schmadtke and Labbadia emphasize: Contract question still open
129258	96 coach Doll announces ruthless analysis
129260	Do I always need the vehicle registration document or is a copy sufficient?
129261	More than 20 dead from tornadoes in the U.S.
129262	Fish in the freight station
129263	Drunk man crashes car into crowd of people
129264	When will the end of the time change come?
129267	Guaidó plans to return to Venezuela today
129268	Young people go to libraries to learn
129269	"Schalkes probably discusses ""contingency plans"" with Büskens or Stevens"
129270	D'r Zoch kütt - Train route with arrival times
129271	Balotelli causes a stir with selfie cheer
129272	"Opulent splendid volume: ""The Star Wars Archive"
129273	When is a child ready for a smartphone?
129274	The prince arrives at the city museum only in the dark
129277	Trump blames Democrats in part
129278	Calendar page 2019: March 1
129280	Brawl after the train in Refrath
129281	How politicians ignore a cleaning lady in the round
129282	Dreigestirn moved for the weekend into the Bensberger Grandhotel
129284	Ridden high to wooden horse
129285	Jewish carnivalists are totally cologne
129290	"The Jecken in Kall were ""magical"" at the carnival procession"
129291	Schalke 04 discusses emergency scenarios - Büskens under discussion
129292	Storm operations - Shrove Monday procession in Opladen will probably take place
129293	Excavator driver simply shovels away his boss
129294	Vussemer Zoch was larger than in previous years
129295	Jecke in Bad Münstereifel were in a good mood despite rain
129296	Bayer 04 sets course for the Champions League
129297	Trees fall on roads - one dead
129298	Apartment house burns out completely
129299	Carnival parades postponed due to storm warning
129300	"Kai Pflaume: Cologne Carnival is ""completely crazy"""
129301	Keith Flint found dead in his home
129302	Denklingen carnivalists defied the weather caprices
129303	Exceptional litter and great atmosphere in Holzhausen
129304	Homeland feelings and a lot of heart
129305	Motorist confesses to taking ten-year-old
129306	Detour signs moved through the streets
129307	Fight at carnival event in Mechernich
129308	Residents find dead carnival worker in basement
129310	The Rösrather Jecken parade through the city
129314	So beautiful and stormy it was on the train in Herkenrath
129315	Rose Monday procession in Fliesteden celebrates anniversary
129318	Red fire devils and green wave at the train in Herchen
129319	"""Confettis"" as lucky bears on the road in Odenthal"
129320	Tax office allegedly declared cabaret artist Scheugenpflug dead
129321	This is the motto for the coming carnival season in Cologne
129322	Two beluga whales fly from China to Iceland
129323	Jecke in Zülpich had a lot of fun at the carnival parade
129324	Was girl abused and murdered?
129325	Conservative gays and lesbians demand apology from AKK
129326	What makes Ingolstadt an unloved playoff opponent
129329	"""Dragon Taming Made Easy"" continues at the top"
129330	Balloons to continue the fun at home
129331	Throwing premiere for the man from space
129332	Thief tries to break into Leichlingen city hall
129333	Schalke is a time machine where no one sees today
129334	Road to Unterberg closed on Shrove Monday
129335	Three ladies who have celebrated the Shrove Monday procession for decades
129336	Kerpener got a visit from France
129337	From above there was not only rain, also Kamelle
129338	Camels fly better with tail wind
129339	Man falls from seven meters on spectator
129340	Vatican opens secret archive on World War II Pope Pius XII.
129341	"Triumvirate ""Jit-et-nit"" lets it crash"
129342	Jeck im Rähn - Carnivalists defy the weather
129344	82-year-old driver dies after accident
129346	Gummersbacher dragged from the train and robbed
129347	The most beautiful pictures from carnival 2019
129348	Bielstein train starts only after thunderstorm
129349	Almost 1000 participants at the procession - Smoking kites in Kendenich
129350	This is the first balance of the carnival days
129351	Samba drums chase away the rain
129352	"Storm ""Bennet"" keeps firefighters in the Rhine-Sieg district busy on Shrove Monday"
129353	Frielingsdorf celebrates its children's procession
129354	The Dancing Daddys take second place
129355	Rebellious Gauls and bold pirates conquer Kreuzberg
129356	"""Beverly Hills"" star Luke Perry dead at 52"
129359	These are the most beautiful pictures from the Zoch
129362	Evonik on the verge of selling its methacrylates business
129363	A train with all colors
129365	Skull contusion stops HSV talent Arp against Fürth
129367	The most beautiful costumes at the Cologne Rose Monday parade
129368	Volvo will soon build its cars only with speed limit
129369	Weak Hamburger SV stays close to 1. FC Köln
129370	Setback or miracle? BVB challenged against Tottenham
129373	Rafting on the Salzach
129374	The firebug
129376	Dahlmeier in focus - many German medal chances
129377	Committees decide on future of managing director Veh
129379	Interview with the director of the Siebengebirgsmuseum
129380	Roman Lob performed in school in Bachem
129381	Daycare centers in Leverkusen to stay open longer
129382	CDU Burscheid is concerned about insects
129384	Second HIV patient virus-free after transplantation
129385	Largest lottery jackpot ever hit in the USA
129386	Car manager Carlos Ghosn released on bail
129389	1560 Jecken inspired with great costumes
129390	Rebecca case: Brother-in-law comes before magistrate
129391	Significant wage differences between West and East
129392	Guarantor of victory: HSV captain Hunt more important than ever
129393	64-year-old dies at KVB stop Amsterdamer Straße
129394	U.S. Democrats demand documents from Trump's entourage
129395	Why the spruces are bad for the German forest
129396	Hillary Clinton does not want to run in US election in 2020
129397	Refugees move in during the fall
129398	Damaged linden trees are cut back
129399	Cute cookie monsters
129400	Golden girls and happy footballers
129401	Mudflat sheep
129402	Aged flower children and young vegetables - quite jeck
129403	Nicutes on plush horses
129404	Carnival international
129406	Residual work on the paving of the main street has begun
129407	Full commitment in the background - the woman of letters
129408	Will Smith to play father of Williams sisters
129410	Colleagues mourn the death of Luke Perry
129411	Kiel's Minister of Social Affairs wants to put the brakes on costs for people in need of care
129412	KG Nubbel cleans up in Klein- and Großbüllesheim as well as in Wüschheim
129414	Former Foreign Minister Klaus Kinkel has died
129415	Peter Kraus: There used to be secrets
129416	Camels packed in practical sachets
129417	Palace of the Republic symbolically reopens
129418	Weatherproof Kommerner rock the carnival procession 2019
129420	"Toy stores in crisis: ""We are the dinosaurs""."
129421	Nabu Oberberg is looking for helpers for frogs and toads
129422	Anna Loos misses nothing from the GDR
129424	Who wanders here in flipflops, must pay up to 2500 euros fine
129425	Dido works more productively since the birth of her son
129426	Prioritize emergency vehicles at traffic lights in Leverkusen
129427	We raffle 3x2 tickets for Herbert Grönemeyer
129428	The train with the many anniversaries
129429	Berti Vogts: Hardly any candidates for a change in the national team
129430	Many construction sites for Schalke's new sports director Schneider
129431	Two Cologne discover forgotten village in the jungle
129432	Little work for the police on the carnival weekend in Rhein-Berg
129433	How commuters can save thousands of euros
129434	A separate car for the mini triumvirate
129435	Jecke balloons in the Zingsheimer Zoch on the way
129436	Mücher young bulls came with Pippi Longstocking's Hoppetosse
129437	E-drive scooters conquer Europe
129438	Grizzlies upheaval after end of season: Many players must go
129439	Fools love exotic and domestic animals
129440	"Kung Fu Noodles"" serves noodle soup like in Beijing"
129441	Barbara Schöneberger has stage fright when singing
129442	"Klinsmann on Eintracht opponents Inter: ""A few things wrong"""
129443	This keeps fruit and vegetables fresh for a particularly long time
129444	This Waldbröler school principal looks to the stars
129445	"Fourcade would not be ""surprised"" by doping revelations"
129447	Peaceful celebrations - carnivalist falls from van
129448	Lamborghini turns the Huracán Evo into a Spyder
129449	The great marches of the carnival maniacs
129450	Amri accomplice charged with attack plans
129451	US researcher worries about zombie disease CWD
129452	Breakdown at HSV: Wolf's note and Sakai's betrayal of secrets
129453	The first storks are back in NRW
129454	Habbelrather are full in the Abba fever
129457	More than 300 IS fighters surrender
129458	Lion kills its 34-year-old owner
129459	Evonik divests Plexiglas business
129460	Thieves ring the doorbell and pretend to be parcel delivery men
129461	Tower bridge soon in Erp
129462	Police surround house in Cologne-Holweide - apparently family dispute
129463	Police in the Euskirchen district take stock of carnival days
129464	Eintracht Frankfurt without goal scorer Rebic against Inter
129465	There were lively Kamelle on the way
129466	The heart of carnival beats in the Veedeln
129467	Dahlmeier's World Cup mission starts in freezing cold weather
129468	What makes Germany tick
129469	"Cycling star Kittel about doping scandal: ""Slap in the face""."
129470	Police nab suspected arsonist in Bad Münstereifel
129471	Gasoline lighter sets fire to plastic table
129473	German patriot and not a typical professional politician
129474	Arson in the former community center in Alkenrath
129475	Travel trade show ITB focuses on excursions and virtual reality
129476	90 minutes in a Cologne retirement home - what makes life here worth living
129477	Paris Fashion Week: Chanel honors Lagerfeld
129478	"We raffle 3x2 tickets for ""ABBAMania"
129479	We raffle 3x2 tickets for Shawn Mendes
129480	"""Horror house"" of Höxter: Angelika W. waives appeal"
129481	20-year-old stabbed by four men with knife
129483	Drunk Cologne crashed into post in Hilgen
129484	21-year-old man drives into ditch - fire department has to free him from car
129485	Theater around Icardi: Inter unrest before duel with Frankfurt
129486	German coach Löw sorts out these three world champions
129487	MSV clears Sukuta-Pasu for move to China
129488	Police looking for teenager harassed by men
129489	50 million euros for start-up message in a bottle
129490	Nabu: Germany brakeman instead of pioneer in environmental protection
129492	Thieves steal seven mobile homes in Cologne-Hahnwald
129493	Bus line 134 runs only until 6 pm
129494	Schneider puts Tedesco under pressure
129496	Lars Bender's wait is over
129497	Radical: Löw bids farewell to Boateng, Hummels and Müller
129498	Cologne police seek witnesses after fire in family home
129499	"Will Smith plays the tennis father ""King Richard"
129500	Criticism in Euskirchen, irritation about ex-prince and peaceful Jecke
129503	Police record slight increase in criminal charges
129504	White storks from West Africa make a stop in Spitze
129505	Women use home office for more childcare
129506	Car manager Ghosn released from prison
129507	Miyaichi stays with St. Pauli - Dudziak and Neudecker leave
129508	"Boateng sad after DFB exit: ""Wished for a different farewell""."
129509	The rest of the fool festival in Opladen
129510	MPs report on sexism in the Bundestag
129511	Injured Neymar enjoys carnival in Rio
129513	Climate change with light showers
129514	Closures to be lifted soon
129516	Cab driver in Gladbach allegedly kicked down drunk customer
129517	WWF allegedly cooperating with criminal wildlife officials
129518	Counterfeit money with a face value of 900,000 euros: Defendant confesses
129521	"""Class reunion"" calls for actors without being embarrassing"
129522	21 in jail, 33 in hospital
129523	Wild cats continue to spread
129524	Brie Larson flew with in the real fighter jet
129527	Many KGs have slept through the generation change
129528	Löw's right decision at the right time
129529	Agency offers lots of info for training seekers
