aid,similarity_baseline
127228,"[129245, 128583, 129112, 128772, 128032, 129041, 127940, 128768, 127963, 128114, 128153, 129061, 127876, 129242, 128328, 129247, 129208, 128086, 128808, 128165, 128294, 127915, 128910, 128046, 128236, 128784, 128997, 129367, 128540, 128829, 128309, 128420, 128379, 129080, 128974, 129326, 129047, 129191, 128541, 129034, 128529, 128459, 127958, 128095, 129310, 128526, 127982, 127903, 128482, 128487, 127939, 129009, 128449, 129262, 129303, 128460, 129328, 129036, 128649, 127899, 128022, 128469, 128954, 128694, 128578, 128837, 127973, 129195, 129064, 128483, 128122, 129316, 127878, 128814, 129005, 128513, 128109, 128099, 128651, 129345, 128615, 127945, 127892, 128376, 129102, 128740, 128614, 128963, 129223, 128977, 128923, 128534, 128474, 128169, 128602, 129015, 128182, 128345, 127996, 129193]"
127229,"[128555, 129395, 128046, 128515, 128548, 128270, 128065, 128761, 127935, 128558, 128948, 128536, 128790, 127991, 128115, 128510, 128624, 128552, 128540, 128639, 128663, 129036, 129048, 129062, 127868, 128030, 128100, 129015, 128376, 128671, 129097, 129047, 129111, 127982, 128764, 128114, 127964, 128344, 128608, 128794, 127903, 128433, 128095, 128582, 128814, 129367, 128295, 128971, 128455, 129245, 127914, 127930, 127972, 128347, 127858, 129288, 128010, 128372, 127994, 128884, 129105, 128487, 128161, 128970, 128694, 128084, 128914, 128041, 129191, 128745, 129021, 128873, 129158, 128300, 128132, 128205, 128750, 128201, 128768, 128088, 128578, 127959, 129280, 128196, 128513, 128078, 128394, 129020, 127963, 128710, 128788, 128020, 128288, 128954, 129221, 127938, 128230, 128602, 127988, 129193]"
127231,"[127870, 128746, 128878, 128651, 128691, 127925, 128416, 127918, 128936, 128741, 129065, 128497, 129381, 128872, 128165, 127907, 128383, 128767, 128290, 128415, 128615, 128405, 128225, 128871, 129340, 128490, 127854, 129354, 128429, 128128, 128274, 128594, 128087, 129067, 128140, 128866, 128170, 129403, 129131, 129176, 128535, 128439, 129011, 127977, 127937, 128178, 128823, 128275, 128460, 128411, 128528, 128371, 128708, 128518, 128024, 128121, 129046, 128757, 128177, 128351, 128778, 129207, 128360, 128101, 127968, 128031, 128370, 128744, 128988, 127860, 128434, 129205, 128254, 128807, 129194, 127883, 129000, 128815, 128164, 128327, 129042, 129331, 128112, 128003, 129232, 129206, 128027, 129017, 128365, 127888, 128449, 129259, 127951, 128877, 129229, 129108, 128482, 129292, 129186, 128287]"
127232,"[127904, 128825, 127973, 128319, 128152, 128805, 128910, 128693, 128745, 128642, 128080, 129262, 128995, 129009, 129195, 128883, 129081, 129146, 128307, 128797, 127975, 128796, 128858, 128963, 128426, 129322, 128826, 127948, 129294, 127919, 128378, 127949, 128977, 128719, 128150, 128951, 129362, 128049, 128664, 128048, 129065, 129018, 129410, 129328, 128242, 129220, 129238, 128269, 129175, 128033, 128351, 129249, 129005, 128891, 128952, 128407, 128935, 129288, 128316, 128710, 128669, 129099, 129077, 128589, 128252, 128253, 128705, 128646, 128315, 128438, 128460, 127853, 129132, 128902, 128822, 128474, 128093, 128246, 128526, 128839, 129886, 128595, 128615, 129279, 128768, 128577, 128760, 128222, 129191, 128024, 128647, 128352, 128504, 129134, 129036, 127988, 129271, 128187, 128003, 128309]"
127233,"[128129, 128904, 127941, 129417, 128691, 127925, 128866, 128405, 128089, 129354, 129173, 128192, 129349, 129186, 128651, 127854, 129381, 129205, 128110, 128393, 128178, 129004, 127918, 128815, 128685, 128535, 128746, 128365, 128785, 128031, 128483, 128872, 128594, 129888, 128274, 129345, 129067, 128877, 128140, 128429, 128439, 128415, 127872, 128635, 128170, 128482, 128741, 129011, 129403, 128121, 128490, 129042, 128636, 129340, 128165, 128101, 129170, 129046, 128116, 128538, 129363, 128807, 128767, 128225, 128399, 128371, 128534, 129350, 128481, 128497, 127978, 128744, 129331, 129181, 127939, 128290, 128936, 128434, 128615, 128778, 128086, 127883, 128878, 128518, 128304, 128556, 127870, 127977, 129210, 128757, 128657, 128740, 127945, 129335, 129375, 129131, 129176, 129164, 128172, 128375]"
127234,"[129061, 128404, 128295, 129249, 128486, 128236, 128100, 128992, 128570, 128046, 128768, 128529, 128432, 128621, 129074, 129036, 127963, 129077, 128672, 128339, 129191, 128773, 128187, 128695, 129374, 129267, 128663, 128379, 128032, 128491, 129252, 128910, 129089, 128644, 128374, 128448, 128745, 127940, 129384, 128630, 128127, 128642, 128836, 128270, 127874, 128391, 128088, 129174, 128764, 129041, 129274, 128095, 128923, 129886, 129258, 128030, 128797, 129121, 128022, 127939, 127976, 129242, 129218, 129132, 128583, 128967, 128382, 128646, 127909, 127871, 128581, 127982, 128719, 127914, 128615, 129357, 127989, 128871, 128456, 129380, 128316, 128293, 128218, 128588, 128709, 128001, 129084, 128710, 128355, 128823, 128017, 129134, 128573, 129188, 128315, 128197, 128123, 128963, 128406, 128589]"
127235,"[128746, 129175, 128434, 128872, 128371, 129011, 128556, 129024, 128190, 129381, 129016, 127854, 128148, 127941, 128393, 128439, 129131, 129176, 129397, 128651, 128778, 128290, 128253, 128483, 127977, 128496, 129310, 128710, 128242, 128988, 128675, 128165, 129421, 128110, 128170, 129210, 128319, 128894, 128024, 128942, 128129, 129077, 128927, 127951, 127918, 128225, 129261, 128767, 128654, 128697, 129229, 128662, 128422, 128192, 127925, 128400, 128533, 129034, 129118, 128616, 128534, 129377, 129292, 128563, 128351, 128019, 127871, 128879, 129201, 128089, 127980, 128909, 128304, 127905, 129380, 128121, 128405, 129132, 128005, 128230, 129108, 128596, 127971, 127950, 128646, 129164, 129345, 128691, 128429, 128825, 128482, 129307, 129232, 128871, 128615, 129335, 128090, 127870, 128385, 128467]"
127236,"[129237, 128968, 128590, 128432, 128316, 127980, 128211, 128253, 129175, 127909, 128203, 128422, 128894, 129090, 127873, 129054, 129258, 128397, 128352, 128797, 128258, 129383, 129152, 128033, 128173, 129244, 129231, 129333, 129299, 127970, 127921, 129108, 127943, 128834, 128230, 128248, 128630, 129322, 128550, 128190, 128817, 128978, 128001, 129076, 129132, 128227, 129432, 128022, 128926, 128909, 128119, 127992, 128458, 128959, 129407, 129334, 129016, 128311, 128604, 128745, 128798, 128979, 128293, 128021, 129380, 129397, 128677, 129405, 128237, 128359, 127950, 130688, 128988, 128180, 128169, 129201, 127993, 128596, 128556, 127998, 129421, 128826, 128880, 129313, 128841, 128124, 128467, 128830, 128951, 128961, 128848, 128544, 129074, 128969, 128575, 129293, 129315, 128576, 128935, 128220]"
127237,"[129388, 129079, 128909, 128564, 128466, 128124, 128245, 128921, 128414, 128309, 129235, 128467, 129296, 128738, 128982, 127884, 128826, 129175, 128220, 129311, 128620, 128335, 127950, 128706, 129399, 128422, 128041, 127906, 128968, 128397, 128328, 129287, 127980, 128048, 128926, 127873, 128513, 129408, 128747, 128485, 128263, 129216, 129076, 129135, 129119, 129334, 129414, 129324, 128938, 129231, 129178, 129237, 128330, 128631, 128916, 128902, 128587, 128817, 129132, 128729, 128310, 128259, 128120, 129387, 128742, 128407, 128324, 128750, 129272, 128091, 129127, 129246, 128577, 128133, 128985, 128325, 129355, 129343, 128844, 127952, 128752, 128852, 129080, 129362, 128420, 128949, 128760, 129145, 128550, 128359, 129155, 128825, 129411, 129273, 129077, 129420, 128841, 127852, 127923, 127851]"
127238,"[128362, 128333, 129019, 129080, 128750, 128367, 128464, 128253, 128751, 128265, 128968, 128183, 128926, 128806, 128513, 128919, 128330, 129333, 128062, 130353, 129288, 129216, 129022, 128805, 129299, 128306, 128533, 129104, 129065, 128409, 128255, 129195, 128422, 129165, 129231, 128995, 128973, 128802, 129018, 128660, 127913, 127979, 128500, 128745, 127938, 128073, 129029, 129081, 128676, 128883, 128063, 128539, 128762, 128667, 129156, 128227, 128338, 128248, 128791, 130688, 127999, 128297, 128797, 129297, 127881, 128076, 129203, 128722, 128319, 129362, 129244, 128550, 128438, 128975, 128067, 128955, 128211, 128547, 129152, 129294, 127962, 128505, 129365, 128124, 129970, 128378, 129339, 128828, 128000, 128834, 128501, 128970, 128786, 128045, 128551, 128747, 128092, 128434, 128909, 129054]"
127239,"[128334, 129402, 129212, 128076, 128073, 129277, 128252, 127994, 129420, 129240, 128322, 128096, 128085, 127926, 127995, 128281, 128604, 128053, 128074, 128330, 129272, 129179, 130688, 128633, 128786, 129276, 127875, 128264, 128284, 128438, 128049, 130168, 128805, 128388, 128507, 129048, 128975, 127985, 128472, 129413, 128883, 128647, 129017, 128152, 128798, 128013, 128214, 128230, 127886, 128549, 128378, 129045, 129081, 128620, 128293, 127891, 128623, 128728, 128450, 128124, 128064, 129134, 129198, 128075, 129052, 128160, 128864, 128742, 128285, 129076, 128909, 128750, 128421, 128666, 128324, 128676, 128934, 128318, 129352, 128008, 128038, 128755, 128329, 129140, 128950, 128386, 129001, 128973, 128361, 128624, 129116, 128407, 129404, 128560, 128960, 129037, 129190, 128827, 128625, 128217]"
127240,"[128352, 129380, 128203, 128253, 129299, 128969, 128258, 129152, 128422, 129383, 127909, 128428, 128830, 128432, 129108, 129258, 128959, 128256, 128001, 128272, 128590, 128354, 128402, 128173, 127873, 129169, 128260, 129244, 127861, 128160, 129315, 128550, 128880, 128417, 127891, 128935, 128212, 129352, 129063, 129124, 128033, 129090, 128961, 129334, 128318, 129333, 127871, 128211, 128951, 128848, 128059, 129231, 127950, 129237, 128973, 128933, 128248, 128738, 128595, 129293, 128927, 128141, 128467, 127993, 128237, 128227, 128988, 128316, 128729, 127970, 128544, 129343, 129192, 128733, 127943, 128921, 129414, 129016, 128979, 128391, 129397, 129054, 129296, 128905, 128824, 128742, 128919, 129399, 128440, 128119, 128752, 128458, 128797, 128230, 127921, 128005, 128625, 127992, 129400, 128782]"
127241,"[127998, 128048, 128961, 129101, 128417, 129244, 129256, 128001, 127950, 127862, 128434, 129299, 128256, 129237, 128550, 129310, 128368, 128979, 127871, 128595, 128141, 129397, 128126, 128880, 128973, 128821, 129108, 128352, 129421, 128353, 129320, 128760, 129231, 128033, 128120, 128935, 128237, 128854, 128894, 129141, 129201, 128576, 128422, 128216, 128988, 128397, 128253, 129175, 128311, 128883, 128848, 128826, 129258, 129313, 129407, 127951, 129343, 128616, 128316, 129293, 129380, 129315, 128440, 129308, 129368, 128709, 128022, 129394, 127962, 129016, 129192, 128406, 127880, 128885, 128610, 128778, 128467, 128938, 128752, 129409, 128544, 128533, 128319, 128701, 128830, 128599, 128927, 128541, 129405, 129400, 128710, 129132, 127861, 128844, 128060, 129034, 129378, 127873, 128729, 127856]"
127242,"[128380, 129134, 129020, 128438, 127971, 128095, 128982, 128910, 128526, 128966, 128969, 128970, 128333, 128062, 128464, 127944, 128707, 128114, 129215, 128549, 129152, 128092, 127921, 128279, 128065, 128721, 127915, 129195, 129231, 128513, 129031, 128237, 129496, 128421, 128422, 127979, 128084, 128030, 128459, 129047, 129277, 128211, 128633, 127876, 128905, 127881, 128972, 128217, 128671, 128330, 129251, 128814, 128583, 129288, 128120, 128432, 128183, 128018, 128300, 129281, 128951, 128968, 128315, 128699, 128458, 128134, 127989, 128440, 128696, 128489, 128926, 129019, 128379, 129137, 128542, 129091, 127938, 128995, 129048, 129285, 128240, 128352, 128376, 128247, 128238, 129362, 128005, 128590, 128797, 128705, 128258, 128455, 127972, 128046, 128391, 130688, 128362, 128642, 128203, 128263]"
127243,"[128816, 128157, 127956, 129003, 128369, 128009, 129182, 128504, 128233, 128448, 129064, 129090, 128352, 129328, 129075, 128821, 128641, 129377, 128000, 128728, 128566, 129303, 128884, 128922, 128485, 127940, 129108, 128662, 127909, 128479, 129131, 129176, 129103, 128629, 128926, 129409, 128705, 129175, 129145, 128100, 128910, 128538, 129133, 129192, 128973, 128839, 128107, 128750, 128902, 128378, 128253, 128268, 129300, 128761, 128007, 128963, 129092, 128177, 128776, 128236, 128612, 128882, 128115, 129080, 128407, 128952, 128279, 128951, 128769, 128919, 127935, 128373, 127973, 128241, 128694, 128885, 129326, 128827, 127998, 128649, 128772, 128830, 128276, 127994, 127921, 128173, 128981, 128010, 128961, 128226, 128463, 128909, 129195, 128247, 128900, 127899, 128624, 128513, 127957, 128124]"
127244,"[128927, 129016, 128942, 128254, 128988, 128190, 128033, 128467, 128883, 128256, 128871, 129017, 129237, 129383, 128253, 129244, 128003, 129022, 128105, 129035, 128370, 128615, 129175, 129378, 128848, 128156, 128166, 129065, 127993, 128919, 129308, 129296, 129132, 128826, 128760, 128422, 128951, 128550, 130688, 129397, 128549, 128576, 128319, 128001, 128616, 129256, 128049, 128642, 129299, 128434, 128360, 128024, 129108, 128214, 128902, 129486, 128936, 128981, 129292, 128048, 127951, 128128, 127998, 128544, 129309, 128973, 129432, 128824, 127992, 128742, 128432, 127971, 128497, 129258, 128937, 129320, 128559, 128935, 128894, 128318, 129307, 128745, 128693, 128164, 128875, 129066, 129886, 128022, 128215, 129141, 128596, 129272, 128675, 128999, 129335, 128890, 128752, 127980, 128961, 128741]"
127245,"[128907, 128540, 129010, 129168, 129162, 128602, 129058, 128280, 129303, 129047, 128030, 127882, 127916, 128525, 129055, 128821, 127878, 127972, 127857, 129210, 129208, 128770, 128441, 128954, 129371, 128433, 128294, 129193, 128406, 127990, 128507, 128376, 128443, 128237, 127982, 129346, 128394, 127915, 128201, 129281, 129022, 129172, 128347, 128182, 128671, 128115, 128888, 128739, 129302, 128764, 128970, 128914, 128395, 128120, 129368, 128803, 127959, 129187, 128775, 127913, 128332, 128883, 128344, 127908, 128185, 128552, 128457, 129337, 128551, 127881, 127892, 128164, 129031, 128482, 128721, 129298, 129020, 128330, 128141, 128710, 128896, 128920, 128455, 128446, 128000, 127951, 128558, 128614, 128574, 128814, 128114, 129080, 129015, 128595, 128636, 128761, 129048, 128076, 129204, 128983]"
127246,"[128528, 128490, 127937, 127907, 128038, 128878, 128118, 128583, 128927, 129011, 128805, 128128, 127918, 128497, 128254, 127898, 129276, 128177, 128357, 128381, 129065, 129194, 128883, 128666, 129229, 128055, 128105, 127870, 128999, 128223, 129037, 127891, 129206, 127951, 127971, 128371, 128390, 128421, 128628, 128981, 128757, 128875, 129305, 129089, 129403, 128416, 127883, 128549, 129322, 128148, 128370, 128627, 128642, 128003, 128543, 128282, 128617, 128988, 128453, 128167, 128029, 128633, 129207, 128087, 128236, 129016, 128691, 129024, 128138, 127940, 128478, 129240, 128178, 128106, 128162, 129309, 128535, 128439, 128334, 129017, 128846, 128762, 129277, 128746, 128604, 128823, 128405, 128116, 129298, 127925, 128625, 130688, 128942, 128683, 128315, 128741, 129331, 129067, 129220, 128895]"
127247,"[128270, 128768, 128236, 129061, 128923, 128764, 128100, 129041, 128046, 128161, 129015, 128344, 128663, 128114, 128088, 128295, 128030, 128992, 127914, 128095, 129036, 128910, 129245, 128065, 128372, 129218, 128185, 129055, 128639, 129191, 128558, 129027, 127963, 128379, 128761, 129885, 127968, 127907, 128327, 128404, 127915, 128294, 128578, 128970, 128339, 129048, 129147, 128529, 128455, 129089, 129058, 129168, 128515, 128745, 128803, 128144, 129032, 128471, 127874, 127940, 128583, 128710, 128499, 127982, 127920, 128552, 128995, 128182, 128298, 127945, 128032, 128196, 128658, 129215, 128679, 128205, 128943, 129064, 128187, 129356, 128011, 129233, 129303, 127988, 129367, 129288, 128545, 128688, 129097, 129208, 128555, 128719, 127912, 128900, 129020, 127918, 127903, 129350, 128954, 129034]"
127248,"[128590, 128183, 128549, 128005, 128006, 128825, 128102, 129132, 128378, 127895, 128090, 127960, 128805, 128888, 128797, 128496, 128214, 127979, 128898, 128813, 128707, 128432, 129333, 129080, 129019, 128745, 128190, 128699, 128351, 130688, 129255, 129358, 129496, 128227, 128619, 129412, 129380, 128289, 128523, 129299, 128319, 127873, 128572, 129077, 129146, 128995, 128630, 128150, 129486, 127891, 127938, 128853, 128191, 128652, 128475, 127904, 128230, 128982, 129284, 128293, 129051, 128810, 128252, 128937, 128318, 128754, 128472, 128467, 128544, 129362, 128253, 128404, 129175, 129387, 128966, 129261, 128894, 127992, 128568, 128968, 129066, 128313, 128550, 128589, 128238, 129400, 129432, 129231, 128603, 128669, 129410, 128152, 128959, 127949, 128611, 128049, 129074, 128796, 129105, 128831]"
