articleID	deepl_title
1036605241	Dispute over alleged defects continues
1037465244	AfD politician Harder-Kühnel fails election to Bundestag vice president
1037715259	Overather senior seriously injured in accident
1037885248	26-year-old races across the A 555 without a driver's license
1037895241	Fast connection for electric cars
1037985256	Maid reveals what she would never use in a hotel
1038115288	That's why there will be a minute of silence before the FC game
1038245289	Augsburg dismantles VfB Stuttgart, Bayern needs luck
1038285288	Why eggs are hidden at the Windecker Pulvermühle at Easter
1038465253	Groundwater surprisingly paralyzes KVB stop
1038495253	"""Drivers make more sales with us"""
1038905245	Pupils marched again in front of the town hall and through Wiesdorf
1039085253	"Police rescues apparently frozen duck ""Donald"
1039655258	Why cathedrals seem like earthly wonders to us to this day
1041525256	21-year-old crashes into crash barrier near Leverkusen - seriously injured
1041845296	ZDF does not have to broadcast NPD election commercial
1041885259	Intense offender caught red-handed by Cologne police
1042015248	Children jump onto moving trains - two cases near Kerpen
1042105245	Safety expert explains why he would not fly on April 6
1045235257	How great is the fire risk in Cologne Cathedral?
1045655241	Mother dies of burn injuries after killing her child
1045995241	Obscene city hall figure makes high waves on the net
1046155247	Three decades on the pulse of time
1048455288	Schock-Werner helps to build Notre-Dame
1048615247	Despite strong Leno: Arsenal misses jump to third place
1049365246	Industrial museum shows history and future of consumption
1049535246	Start-up aid from the NRW Minister of Economic Affairs
1051055251	Ukrainian president takes second drug test
1051175241	Federal Government Appoints Ambassador of Brunei
1051405246	Uwe Pakendorf becomes new circle party leader of the CDU Rhine mountain
1051655259	Two young men caught dealing drugs and arrested
1052335243	"SPD and Greens reject U-committee on the ""Lügde case"" at present"
1053115247	NRW promotes protective measures against wolf
1053585288	NRW Ministry of the Interior puts police under surveillance
1053685288	"Few hundred supermarkets offer ""eggs without killing chicks""."
1054005246	Kremlin's terrorist ruler and NATO's favorite enemy
1054595243	Almost all grammar schools in NRW want to return to G9
1054595296	Police in Cyprus search for more victims of serial killer
1056415289	Thieves steal 40 young sheep from a farmer
1056445260	Mirácoli renounces ingredient with immediate effect - customers are annoyed
1056615245	Perpetrator assaults employee - receipts stolen
1057215246	FIFA Vice President Sheikh Salman confirmed as Asia head until 2023
1058005243	"Does the new development plan really set ""standards throughout Germany""?"
1058205241	Locations for trash cans are reviewed
1058395241	20 injured in school bus accident in NRW
1058565249	KVB line 18 collides with car in Bornheim
1060305247	Another dead identified after 70 years
1060345257	1. FC Köln gives victory against HSV out of hand
1060405257	Drexler best FC professional, Terodde remains pale
1060725249	As an artist, make sure that culture is held high
1061025294	Rammstein world premiere is shown in the middle of Cologne
1061435295	Ellen Schwiers dead at 88
1061515294	Berlin Greens demand party expulsion of Boris Palmer
1061565242	Donate plastic lid instead of cash
1061575242	How business runs in the digital era
1061925242	"""I avoid the caricature"""
1063065246	Labor Minister Heil wants to oblige self-employed to provide for old age
1063265288	Do separate homes make couples happier?
1064735253	Authorities warn of dangerous potency drug
1065685296	Prominent name for search committee circulates in Cologne
1066815258	Iron roof truss protects, but does not exclude disaster
1067645240	Pool in Poland to become the deepest in the world
1068005241	German greenhouse gas emissions down in 2018
1068055243	"Agency sues ""jungle queen"" Evelyn Burdecki"
1068435289	Kovac as a disruptive factor on the bench
1069855256	Craft professions presented on the way to school
1070365256	Dirty stones in Opladen pedestrian zone
1071975256	"""Sport in the Park"" offers 35 free exercise activities"
1072525244	Obama to land at Cologne/Bonn Airport at 5 p.m.
1072545256	When the mudslide came to Leichlingen
1073565294	Two seriously injured in Rösrath
1073865252	Netflix shoots series in Euskirchen
1074135295	The Mampen celebrate with music revue premiere in the people stage
1076055256	About 70 participants at first dog frisbee competition
1076195294	Train driver himself suspected of the crime
1076275296	No majority for Labbadia
1076545248	Cologne commuters must prepare for delays
1077075288	Truck hits wheelchair user on cycle path on Kalker Hauptstraße
1077165260	NRW breweries produce 1.9 billion liters of beer
1079295290	"Night fire in the fire ruin ""Alt Schlebusch"
1079355249	Brain tumor patients tell what symptoms they missed
1079715294	Dog dies in car - owner leaves provocative message
1080405296	Truck loses stinking load on the A1
1080625256	Ex-robber Torben Klein starts completely new
1080925241	Only one entrance class - Veybachschule accepts eleven children less
1084365241	When should antibiotics be taken - and when not?
1084485259	Already more than 13,000 visit exhibition on Michael Jackson
1085155258	Lithium mining causes severe environmental damage
1085175241	BVB managing director Watzke certain: Reus ends career
1085655247	The league lacks competition - and that's a problem
1086155259	Schwetje on possible relegation and investor entry
1087655249	"Völler defends coach Bosz: ""Will continue on path""."
1088405294	Police officer investigates woman who forgot her money in vending machine
1088945296	Fortuna coach Zapel on the relegation battle
1089485245	"""It's not the kid that sucks, it's the job that's missing""."
1091005288	The bee miracle of Notre Dame
1092605248	Dorint extends lease early until 2043
1092765244	Meanness at the birthday party
1094195246	Robyn's magic moment at the Cologne Palladium
1094225251	Angela Merkel mourns the death of her mother
1094275254	Lohmar mayor Krybus does not stand for re-election
1094605254	How a Frechener collaborated on the photo of the black hole
1094815249	Muslims are not the Jews of today
1095015257	Veh strongly criticizes referee Hartmann after FC draw
1096605240	Refugees attacked more passersby than thought
1097035253	"Teacher deplores ""everyday anti-Semitism"" in Cologne"
1097045242	Sport-Bild: Funkel wants to keep Rensing and get Esser
1097735249	Body found on park bench
1098025245	Cologne police search for EC card fraudsters
1098515289	A final case that calls everything into question
1098585248	Drugs, medicines, counterfeits - smugglers remain creative
1098825296	379 electoral districts in the Rhine-Erft district
1098985296	Leverkusen discusses digital transformation
1099025247	1. FC Köln takes the next step towards re-promotion
1100055294	"""Craft Beer Festival Cologne"" for the first time in Cologne-Mülheim"
1101165258	Boneß & Euteneuer Partnership mbB
1102115248	"""Foster grandma"" must spend ten and a half years in prison"
1102225247	Fierce protests at AfD event
1102675289	Subway station in Deutz to be refurbished starting in 2020
1103715245	Cardinal Woelki suspends a priest again
1104475249	Simone Thomalla is not happy about Heinevetter switch
1106835241	Mick Schumacher turns first laps in the Ferrari
1107225295	"Mysterious trailer for the new season of ""Dark"" released"
1107475245	These two schoolgirls organize the climate demos in Cologne
1107625260	This euro banknote will soon no longer exist
1107775246	FDP leader Lindner intensifies criticism of school strikes
1109465295	Cyclist insults police officers in Cologne
1110225288	"A ""depressing"" book, angry grime rap and white wine at Gloria"
1110625258	Studienwerk der Steuerberater in NRW e.V.
1110665248	Caritas head sees disturbed relationship with the city of Cologne
1111145244	Sharks captain relies on patience before game two against Mannheim
1111215244	This fruit and vegetables still grow in the Rhineland now
1111965246	Günther Jauch and Tim Raue open restaurant in Potsdam
1112345251	Cologne cab drivers protest against ride broker Uber
1112965296	A Jesus who sounds like a screeching cat
1113225240	Little girl runs away from home and ends up in nursing home
1114255246	US agency warns against wrong baby cradle use
1114405249	Teachers find fault with their students' writing skills
1114585241	Pregnant dead whale discovered off Sardinia
1114645289	A standard situation must save Bayer 04
1114975252	Eleven-year-old is pursued by car driver in Sankt Augustin
1117445244	No baggy look allowed: school bans sweatpants
1117465242	Constitutional Assembly withdraws immunity from Juan Guaidó
1117665244	This pool in Poland is to become the deepest in the world
1117685278	More than 200 kilometers of traffic jams to start the Easter weekend
1118545242	Ford presents new models for Europe
1119255241	Politicians want tougher penalties against speeders and tailgaters
1119575242	When Bill Clinton almost landed in Lommerzheim
1119755242	30 new plots between Füssenich and Geich
1119765244	School in NRW bans sweatpants
1119775242	Work begins inside the shell
1119835242	Partner community visits Hambach open pit mine
1119975288	30-year-old fare dodger goes completely berserk during inspection
1120125242	Finns for hire that teach you how to be happy
1120215241	A1 bridge: Cologne and Leverkusen reduce truck fines
1120235242	A too tight embrace
1120295242	"Martin Schulz as guest in Hennef - ""Europe is better"
1120945249	BAV collects ten million beverage caps
1120965241	Defendant must pay fine to beekeepers association
1122105246	Purists and innovators celebrate the pasta dish worldwide
1122655249	Incentivize greening instead of banning crushed stone
1123585289	Two successful Alario actions are enough against Nuremberg
1125415241	"Emery praises Özil: ""Mesut plays the way we want him to""."
1125415248	"""Spoiled South Tyrolean"" - Giorgio Moroder on tour"
1125905258	Cybersecurity drives growth of Cologne-based engineering group
1126275247	OB Reker faces criticism from cyclists
1126495242	Greens call for special rules for cyclists
1126565242	Cologne firefighter writes book about his missions
1126725246	The new Opladen is to become greener
1126855241	These are the mistakes everyone makes when washing a car
1126925260	Man gets under tractor in Roisdorf - trapped
1127705247	How the top match turned into a double whammy
1129185241	The Arctic lacks ice supply
1130105249	Expansion of the special school at the Römerturm almost completed
1130115249	Bayer plans to pay these severance payments to its employees
1130295242	Two dead in house fire in Herchen
1131655241	Police take action against perfidious scam of criminals
1131875247	Leverkusen's crisis due to the same mistakes over and over again
1132655242	More cases of sexual abuse against children
1135905249	"Why a ""dinosaur egg"" can be admired in Kerpen's town hall"
1136085240	Why electricity prices in Germany are currently rising so sharply
1137815251	This is how the business with historic cars develops
1137975253	Günter Wallraff seriously injured in bicycle accident in Cologne
1138885246	"Henry Maske: ""Everyone wanted to be there""."
1139105240	Wolf discovered on the Poller meadows in Cologne
1140415288	Two new restaurants open in Cologne
1140495296	Inspiring stage show from Maite Kelly
1140745251	New maps to warn of flooding in Bonn
1142895243	Ex-Sharks professional sits in Cologne on the dock
1143115253	Neighbors can not prevent rental to tourists
1143925242	"Fight against the ""Gardens of Horror"" in Oberberg"
1144565251	Arsonist sets fire to two cars - police seek witnesses
1144755246	A Cologne resident is Sydney's bun king
1145635247	Water damage caused by sprinkler: Opera shut down for longer
1146005256	Regional trains in NRW are less punctual than they have been for years
1146715288	Markus Anfang on the possible rise on Easter Sunday
1147265294	The referee should have looked at the scene
1147425293	Who actually owns the garbage?
1147615293	132 trees for Leverkusen's longest avenue
1148075247	Cologne Sharks facing elimination after third defeat
1148105253	Bandidos member must go to prison after shooting
1148355246	Enzenauer company from Burscheid cooperates with China
1148395246	Groups can continue to use gymnasium in Offermannsheide
1148515246	Finally facts instead of phrases about Sankt Augustin's Gardens of Nations
1148645245	How to create a living room atmosphere in nature
1148645246	Path popular with hikers very bumpy after construction work
1148775246	Most bus stops in Brühl are modernized
1149335294	Bald eagle Paco has opened the season
1151025242	This is how much Ryanair harms the climate
1151995255	Elsdorf mayor writes fire letter to Laschet
1152075255	Niederkassel market is dissolved after 30 years
1152125255	First nature trail in the region opens in Nettersheim
1153825296	The great envy against FC Bayern
1153945295	Danish children commemorate Povlsen siblings
1155955244	Files on consultant affair in the Ministry of Defense deleted
1157035288	Eintracht Frankfurt makes something special out of the Europa League
1157055258	Macron promises reconstruction in five years
1157755254	Cologne lime stores masterpieces with total loss
1157795240	Duel with the best in the league
1157825288	Donations to Notre Dame elicit criticism
1159815241	Clooney lays into boycott call against Sultan of Brunei
1161765288	Fire department has to rescue sick woman from south tower
1162395245	Train driver steals forgotten suitcase with 6000 euros coin money
1163315288	Demands for relief for people in need of care
1163965293	Bookstore Tim and Jan offers meeting place for book lovers
1165435293	Club 8 in Burscheid is closed with immediate effect
1165835254	"""Game of Thrones"" is the climate change narrative of our time"
1167055249	Tools stolen from barracks area in Euskirchen
1167625245	Eurowings plane returns to Cologne unscheduled
1169365291	"""Cologne must be careful not to collapse the system""."
1169995252	Captain Lars Bender misses the determination
1170315244	ICE 4 trains need to be upgraded
1171225257	Musical journey around the world
1171475248	Unknown person steals delivery cab directly in front of pizzeria
1172815287	The best tips against quarrels at the family celebration
1173115240	Barley wants to facilitate construction of charging stations for e-cars
1173595249	"""Paulinchen"" to help Wiesdorfers across the street"
1173785292	Massive delay in Ryanair flight from Italy to Cologne
1174555249	Acquittal in deposit bottle trial
1175485291	Residents of Eifelort are powerless against motorcycle noise
1175685291	Bensberger brings police on gang track - wheel not to get back
1175695291	"""Being normal isn't as normal as everyone thinks""."
1176025240	Bonn woman gets her child in the clutches of a terrorist group
1176075241	"""Hahn's Zitsch"" - The history of a gladbach cult drink"
1176075290	Fire department rescues woman from burning apartment in Cologne-Kalk
1176225291	Building inspectorate closes the ruins of the fire in Leverkusen
1177695244	"""You'll love Düsseldorf"" - but that's Cologne!"
1178185256	Support association criticizes annual ticket for Troisdorf museums
1178925290	Spießbürger 2.0 strives for the red thread
1178985256	Hikers, riders and bikers clash more and more often
1178985290	Motion to abolish OGS fees in Kürten rejected
1179025290	Tennis sport Erftstadt celebrates premier on new courts
1179685253	Police officers shoot man with Down syndrome
1180525244	"""I've been mobbed more often than not""."
1180975246	Felix Sturm arrested at Fibo fitness trade fair in Cologne
1181135249	Bergisch Gladbach's mayor Urbach will not run in 2020
1181475255	Help for the homeless in Cologne expanded
1181675287	Car burns out in Sankt Augustin
1182135253	Toni Kroos apparently wants to leave Real Madrid
1184175241	22-year-old thrown from car in accident
1184425244	Why a firm plan for January is all the more important
1184895241	"""Sprayer of Zurich"" must pay because of flamingo graffiti"
1185485256	What tenants should pay attention to - a checklist
1186305290	Nowitzki thanks fans with love letter in newspaper
1186925254	Fisher-Price recalls five million baby bouncers worldwide
1187285256	Progressive eyeglasses to the favorable fixed price with Smile Optic in Cologne
1188145249	Leverkusen Council adopts new project management
1188175291	Pelosi doesn't want impeachment proceedings against Trump
1188265249	Hannover 96 fires manager Horst Heldt
1189055288	Thousands of people demonstrate with Greta Thunberg in Rome
1189265260	Model father Günther Klum auctions bowling alley in Gladbach
1189795260	Coach allegedly filmed 80 children in the shower
1190295256	Son sues parents for nearly $90,000 in damages
1191635244	New Bauhaus Museum Weimar: Colorful mix in the concrete cube
1191695255	US vending machine conquers Cologne retail trade
1191775249	Scream therapy in the dressing room: HSV seeks way out of crisis
1191865252	Is volcano tourism really safe?
1191895249	Martin Kind's angry attacks without any sense
1191985256	What does the doorbell sign actually have to say?
1192195240	Fourth Range Rover stolen in Cologne since March
1193365285	SEK storms fake apartment in Troisdorf
1193425285	Cyclists annoyed by deep potholes
1193895285	Homeless person allowed to live in container for refugees
1196475242	200 year old half-timbered house in Sankt Augustin moves
1196595292	Fortuna Cologne struggles into cup final against Wegberg
1197025246	Dortmund has the last chance for a long time
1197785296	Fortuna Cologne does not bring the ball over the line
1198145289	Fellow coach criticizes Fortuna's Kaczmarek
1198245252	Coman and Lewandowski are reportedly fighting in training
1198295242	Hunters warn against commercial area at the Sülz
1198535242	Rent index in Leverkusen adjusted
1198635250	Dirk Nowitzki declares his retirement after this season
1198855253	First pictures of Silbereisen as captain published
1198925242	Drivers ignore speed brake - bollards planned
1198995242	Felling at the old railroad embankment - Sycamore maple in particular affected
1200105241	DFB President Reinhard Grindel about to resign
1200425293	German mother and son found dead in Tenerife cave
1200665289	VfB Stuttgart parts ways with coach Markus Weinzierl
1200895285	Children submit ideas for Gladbach playground
1201045288	"""You can rely on the German legal system""."
1201245250	What the job cuts at Bayer mean for Leverkusen
1201655295	Open pit lake will not be filled further due to drought
1202535290	What will be important in Cologne this week
1202945294	Oscar winner Rami Malek plays the villain
1203995250	This is how fast the Internet will be in Troisdorf in the future
1204115250	New bus shelter at bus stop Bechen village square
1204175250	Altmaier absent from almost all EU ministerial meetings
1204195250	270 objections to planned freeway route in the Eifel region
1204295250	Leverkusen City Council decides against a housing protection statute
1205045251	1.FC Köln misses out on victory at MSV Duisburg
1206245253	Simon Rolfes hopes that Julian Brandt will stay on
1207005292	People rescued by boat and helicopter
1207915259	Bonn researchers detect first molecule of the universe in space
1209525242	Justin Bieber apologizes for April Fool's joke
1209885248	Absurd rules for mothers from the 60s
1210815240	Ministry of Defense pays 600,000 euros for moorland fire damage
1211615242	Cemetery worker steals rings from finger of dead woman
1212155245	What the planned Bafög reform means for students
1212245245	Cab demo planned with up to 700 cabs
1212745244	Workshop day in the Leichlinger Quartierstreff
1214805280	Driver puts BMW on barrier - traffic jams
1216115292	Leipzig reaches first DFB Cup final in its club history
1217135245	Should AfD candidates be denied approval for the presidency?
1218905256	New EU copyright finally adopted
1219095259	Gymnasium of the Clemens August School in Brühl to be demolished
1219755253	Children's home in Cologne-Brück to be renovated
1219955244	Commitment for a more beautiful Lindlar - comrades-in-arms wanted
1221635251	Tragic emergency in the environment of 1. FC Cologne
1221975241	Thieves cause high damage
1222035258	"The ""New York Times"" confuses Cologne Cathedral and Notre Dame"
1222665244	Werkself faces third defeat in a row against Leipzig
1223395244	German humor from around the world in Wiehl
1223685294	These are the accusations against the Bayer CEO
1224025243	Harry and Meghan break Instagram record
1224375253	Millionaire wants to play out brutal video game on private island
1225325245	Heidenheim also impressed Markus Anfang
1225385246	NRW FDP puts on a green face
1227425241	78-year-old scooter rider seriously injured
1227525241	The fountains in Cologne bubble up again
1228015253	A mixture of bad luck and incompetence
1228735246	Initially luxury problem against the team of the hour
1230295240	"Renewed breakdown of government aircraft ""Konrad Adenauer"
1230955240	Rules around the organ donor card
1231265249	Winners as well as losers of the bicycle climate test in NRW
1231855249	Truck driver runs red and collides with KVB train
1232525288	Pupils also demonstrate on Good Friday throughout NRW
1233515251	Savior Timo Horn, outstanding returnee Schaub
1234775253	Scientists identify new pricing pattern at gas stations
1234825294	Easyjet plane must abruptly abort takeoff
1235245249	Initiative wants one million signatures for affordable rents
1235595294	When the state border runs through the middle of houses
1237945253	Früh takes over production of several Kölsch brands
1238845254	Sky cancels soccer talk after the season
1239055248	Bitter dispute over a dog poop in Cologne
1239835241	Win tickets for the next home game of 1. FC Köln
1240515241	IHK welcomes waiver of driving bans
1241055295	Neunkirchen and Seelscheid are linked by an eventful history
1242275240	Downstairs daycare center, upstairs rental apartments
1242605256	Mülheim Bridge becomes a bottleneck - the most important information
1242635244	Engineer presents designs for outdoor areas
1243715250	Barn in Blumenthal burned down - high property damage
1244585241	"We raffle tickets for ""Falco - The Musical"
1244895286	Burscheid plans a garden for all generations
1245365244	Kaczmarek angry about unnecessary suspensions
1245515244	"Bonner founds ""association for cool things"
1247805259	Navi directs heavy trucks into small jewelry avenue
1248955244	New attempt for weekend houses at Bruchertalsperre
1249555249	Police arrest car driver in Krefeld
1249615257	Family looking for nanny to dress up as Disney princess
1249635245	Over 300 schoolchildren demonstrate for the climate in Zülpich
1249645250	Humming business loses momentum
1249645257	Resident files constitutional complaint against daycare center
1250165257	Significantly more helpers pitched in
1250195257	City will try to preserve cherry trees
1250415294	Motorcyclist flees from police check in Cologne-Rodenkirchen
1252045260	Chancellor Merkel says goodbye to her mother
1252135245	Replacement granny urgently sought
1252635295	Marly bridge will be completely closed for two weeks
1254325246	Right-wing slogans in the community center
1257325243	Werder Bremen in Cup semifinals - victory at Schalke
1257365291	Police officers rescue eleven ducklings from ICE track
1257375288	Köster and Hocker cover music history - op Kölsch
1258025288	Eurowings tests new boarding concept
1259285246	Hundreds demonstrate in Cologne against housing shortage
1259885291	Narrow spot at the entrance to the town should slow down speeders
1260575291	"""I want to get away from the repair business"""
1261075244	Theater-AG of the Freiherr-vom-Stein Gymnasium presents dramatic play
1261405292	The band Birth Control thrilled the audience in Windeck
1261415292	The effort is too great, the team too small
1261685295	900 piglets suffocate in barn - police investigate
1262595248	Thieves triggered the alarm in the lottery store
1263095244	Celebrities honored at Prix Pantheon satire award
1263595241	A garden robot goes crazy in the Easter fairy tale
1263675294	In these 7 professions you earn well - even without a degree
1265965249	"School Minister meets ""Fridays for Future"" activists"
1266525291	Market traders want to continue also Saturday
1267125291	Took a critical look at Max and Moritz
1267815246	Fire in warehouse with dangerous acetone
1267885249	Investigation closed after death of asylum seeker
1268175248	64-year-old cyclist dies after accident in Troisdorf
1268275291	Hänneschen Theater inspires during Easter vacations in Kommern
1268765242	Every seventh person goes to the gym
1268935240	"""I wanted to educate him, but I didn't want to kill him""."
1269105254	RSVG wants to focus on hybrid drive
1269875291	New boss at the City Center
1270115253	Bizarre job ads that really exist
1270245243	Schalke loses cup duel with Werder Bremen
1271005291	Fallow land on Mühlenstraße to be built on
1271155246	Only Havertz convinces against Leipzig - Two times grade five
1271625258	Fabulous performance of the Golden Lemons
1271645246	Motorcyclist killed in traffic accident
1271665250	Cologne artist makes blood beech at the Sülztalplatz a work of art
1271905250	Director moves to Luxembourg
1272495250	Expansion of the Vorgebirgsstraße in Frechen will be expensive
1272835250	How the Euskirchen district fares in the future comparison
1273925249	Leading roles for weighty actresses
1274405296	Fire in retirement home in Ründeroth
1275575246	Nuremberg draws with VfB - Hannover loses again
1275735244	A4 and A57 only passable with restrictions
1276415249	Every two hours from Cologne to the European capital
1277525291	Feminine and handmade
1277935258	Ajax kicks Juventus and Ronaldo out of the Champions League
1278305296	City closes crawl space - renovation to last 100 years
1278355247	When aggressive teenagers are deported
1278955258	FC officials cannot understand fans' reaction
1279555291	New IRA pleads guilty to killing of journalist Lyra McKee
1279815295	Explosions again in Sri Lanka
1280005256	Heidi Klum holds on to a tradition even with Tom Kaulitz
1280715244	Also Hamburg concert of the US singer R. Kelly canceled
1280835243	Port of Duisburg: New Silk Road instead of Coal and Steel
1282975288	Amri accomplice had contact with Paris wire-puller
1283005256	Rugby star Folau before the end of career
1284195246	FC Bayern with Neuer and Alaba, BVB with Piszczek and Diallo
1284645288	50-year-old man killed in accident at Brühl ironworks
1284865288	Hard work for soccer lover Peter Bosz
1285315242	Politicians discuss speed limits on Hennef roads
1285915240	DFB fines Bayer 04 30,000 euros
1286225252	"""We're taking back the road""."
1286515246	German sea rescuers ask Malta for help
1286585242	With historic rail bus over old rails
1286985242	Recycling center remains closed on Saturdays
1287075295	State security investigates against Sankt Augustiner
1288845242	Bergheim's mayor plans new hotel and parking garage
1289035242	SPD leader criticizes plan of Blankenheim's mayor
1289155243	Shahak Shapira and colleagues deliver
1289865290	Men attack disabled pensioner - search for witnesses
1290475250	Raid against right-wing extremist hooligans
1291255294	"Clowneries in Shakespeare drama ""Coriolan"" are annoying"
1291715240	More space for children in sight in Leichlingen
1292545254	28-year-old man critically injured in solo accident
1293465259	Speed camera apps - drivers must expect these penalties
1295755241	Children of murdered journalist to receive millions
1295785244	Matching clothes at dealer Nadine Walter
1296725242	Life-threatening escape from Cologne main station
1296995288	Beer drinkers are local patriots
1298365246	A mood booster for the British
1298385254	Anger outburst from Verstappen via team radio - also against Vettel
1298825248	Rudi Völler criticizes mistakes and wrong decisions
1299065253	Tarpaulin of a truck slashed - diapers stolen
1299355255	"Doctors care for 300 ""sick"" cuddly toys at Bear Day"
1300355241	Traveler brings runaway 10-year-old to police
1300765291	Initiative by Maas and Jolie could cause a scandal
1301285255	Sports program for mothers in Frechen very popular
1301435249	Fake SWB poster makes fun of delays
1301625250	With these golden rules you can get an art collection cheaply
1301785259	Police find 30 kilos of marijuana in trunk
1301815248	Another shark less - Després suspended
1305255293	So which car has the better environmental performance?
1305355245	Cologne boxing champion Charr changes first name
1306635292	Tunnel at Opladen train station closed
1306845292	Giant ants from construction foam
1307565241	More than 50,000 signatures collected
1308335295	Jürgen Drews welcomes new Ballermann regulations
1308395255	Wallet stolen from 80-year-old Cologne woman and money withdrawn
1309265294	Stink bomb in the club Bahnhof Ehrenfeld
1309315245	Mystery of Obama's mug solved
1310595254	New daycare center at Gartenhallenbad in Wesseling gets six groups
1311385295	Markus Anfang sends this eleven onto the pitch
1312005288	Forest fire just next to residential buildings in Lohmar
1314545256	Düsseldorf closes lanes for private cars with combustion engine
1315105253	Markus Anfang describes dramatic incident involving father Dieter
1315145294	Gladbach city hall becomes more barrier-free
1315195294	False doctor and family murderer goes free after 26 years
1315555250	Cologne has completely slept through the development
1315715252	Doubts about plans for L 336 - District road 53n finally stopped
1317395290	Troisdorf schoolchildren design municipal utility exhibition
1318345248	Yvon Jansen and Rafael Sanchez in battle of the sexes
1319665259	Tourist bus crashes down embankment in Madeira
1321235250	Police crack down on Islamist network
1321295241	Police stop exit of seven motorcyclists
1322395294	Hundreds of maple trees in Bonn must be felled
1323555295	Defendant afraid of prosecution
1325005240	Amateur footballers beat up 20-year-old referee
1325635259	"""I can't be happy all my life""."
1325765240	Two dead after collision of car with semitrailer truck
1326415294	How NRW wants to combat the housing shortage at train stations
